abstract,generated,rouge1-r,rouge1-p,rouge1-f,rouge2-r,rouge2-p,rouge2-f,rougel-r,rougel-p,rougel-f
"to demonstrate the feasibility of studying the epoch of massive galaxy cluster formation in a more systematic manner using current and future galaxy surveys , we report the discovery of a large sample of proto - cluster candidates in the 1.62 deg@xmath0 cosmos / ultravista field traced by optical / ir selected galaxies using photometric redshifts . by comparing properly smoothed 3d galaxy density maps of the observations and a set of matched simulations incorporating the dominant observational effects ( galaxy selection and photometric redshift uncertainties ) , 
 we first confirm that the observed @xmath1 comoving mpc scale galaxy clustering is consistent with @xmath2cdm models . using further the relation between high - z overdensity and the present day cluster mass calibrated in these matched simulations , we found 36 candidate structures at @xmath3 , showing overdensities consistent with the progenitors of m@xmath4 m@xmath5 clusters . taking into account the significant upward scattering of lower mass structures , the probabilities for the candidates to have at least m@xmath6 m@xmath5 are @xmath7 . for each structure , about @xmath8 of photometric galaxy candidates are expected to be true proto - cluster members that will merge into a cluster - scale halo by @xmath9 . with solely photometric redshifts , 
 we successfully rediscover two spectroscopically confirmed structures in this field , suggesting that our algorithm is robust . 
 this work generates a large sample of uniformly - selected proto - cluster candidates , providing rich targets for spectroscopic follow - up and subsequent studies of cluster formation . 
 meanwhile , it demonstrates the potential for probing early cluster formation with upcoming redshift surveys such as the hobby - eberly telescope dark energy experiment and the subaru prime focus spectrograph survey .","we find find to the presence of which from the results of the standard model is the two disk between the presence of @xmath3 galaxies with the @xmath0 which the light of this is used for the energy in the data are detected . the cluster in the @xmath2 and the presence of the first ( bs @xmath1 in . we show that @xmath2 and the data from a model ) and the cluster of the accretion to present at a few the @xmath5 in large enough as @xmath1 . recent system with a a large galaxies are important to understand , the galaxy of the evolution of the , such than the existence of the formation . we found for non - , @xmath0 is to the ) s@xmath9 and @xmath0 stars , . in the total of magnitude , which was used the . we show that the two ray and one of galaxy ) @xmath1 , @xmath0 symmet in particular in the , can be observed in the existence of these are given , @xmath0 ) ) . we conclude that the first ) and the energy stars in fig . a a few results are obtained into non - of the ) and we investigate the low low energies and the high @xmath0 . the mass - ray formation ) , we find that its x - photon and a low @xcite . let us to high - plane , @xmath0 gev is still use . the source of low - ray luminosity of the data for anisotropy emission - in the : c. the star is the model of these results of the model to the existence of their high - ray emission of the gas for the present that inhomogeneivity or of a mass . we discuss these results for angn and @xcite , respectively : , the firstpage s . the presence at the , in the star lines and @xmath10 and . the mass @xmath1 m m m@xmath4-n s is the redshifts radiativeative emission from a a larger than than the presence of the ; the energy energy , that ( ) ) . the radio x - luminosity , @xmath3 ",0.23668639053254437,0.33613445378151263,0.27777777292848194,0.056818181818181816,0.05415162454873646,0.055452860067582564,0.21893491124260356,0.31092436974789917,0.25694443959514857
"this talk gives an elementary introduction to the basic properties of positronium . 
 recent progress in theoretical studies of the hyperfine splitting and lifetime of the ground state is reviewed . 
 sensitivity of these precisely measured quantities to some new physics effects is discussed . 
 # 1o(#1 )    = by -1    bnl - het-99/38 + hep - ph/9911455 + november 1999","the strong in the spin - based on the single x - dimensional energy theory of freedom of the effect are given a few . a quantum mechanics and it is observed model the spin - temperature in the experimental values of the time and the surface ) and in the observed observed method ) , such as to be related to the second - ray - of our calculations in the observed the ) is well wellped in single - body systems . these parameters are also found the other hand of the , we suggest the first first data of the energy @xmath6 and , the first values of both the critical critical - dimensional dimensional - wave transition rates of the results results of the . for , in the system to the ) , @xmath2 . . the other hand . a two - like - time - particle ( fig . we can be interpreted as a function for @xmath0label , the two two - scale systems , @xcite , is not shown in the first in the spin ( so far - up to the most @xmath0 ( @xcite , the low - band is the standard structure of this article . the experimental experimental data hamiltonian @xmath3 as one - , where @xmath1dd] . these these two - dimensional and the effect with the ) , the spin - to the spin , respectively , as not only only the interaction in agreement of the two - , there are not the critical systems : , the ] . this theory show that the spin - - temperature @xmath1 ] , @xmath5 @xmath33 . the ferm - like , the two qubit @xmath6 , the same temperature dependence of the interaction as the phase of the phase phase between the results are well in this paper . from their @xcite , we find its super - space , @xmath1 ngc , ) , which are @xmath5 radiative dms ( @xmath1 , a . the evolution of the standard function , the , we provide no x - dependent states . we show that the the critical to use the @xmath9 . ] ) , a singlet . in a system s ",0.20408163265306123,0.07352941176470588,0.10810810421387888,0.03571428571428571,0.006920415224913495,0.011594200179122669,0.20408163265306123,0.07352941176470588,0.10810810421387888
"we derive the exact solution for the optical conductivity @xmath0 of one hole in the holstein-@xmath1-@xmath2 model in the framework of dynamical mean - field theory ( dmft ) . 
 we investigate the magnetic and phonon features associated with polaron formation as a function of the exchange coupling @xmath2 , of the electron - phonon interaction @xmath3 and of the temperature . 
 our solution directly relates the features of the optical conductivity to the excitations in the single - particle spectral function , revealing two distinct mechanisms of closing and filling of the optical pseudogap that take place upon varying the microscopic parameters . 
 we show that the optical absorption at the polaron crossover is characterized by a coexistence of a magnon peak at low frequency and a broad polaronic band at higher frequency . 
 an analytical expression for @xmath0 valid in the polaronic regime is presented .","the @xmath0 and @xmath6 @xmath1 at @xmath1 , @xmath1 memagnetic , the results suggest of a single - - scale of @xmath0 , @xmath0 . a quantum frequency of the photonn and @xmath1 to the two - , @xmath0 and @xmath0 at @xmath2 and @xmath1 and @xmath2 , we propose propose the first first @xmath1-@xmath10 , a a large @xmath0-son mass transition , @xmath1 . . by our algorithm will lead to the local scale of of the transition . in this and @xcite gaussian the energy @xmath0-@xcite is the ) in the first first order in the system are shown in the high - like @xmath1 is a , the , the l - dimensional ( ) , and @xmath1 is more high - body mass of the case of , we find that the eigen",0.23863636363636365,0.3559322033898305,0.28571428090888057,0.05343511450381679,0.06086956521739131,0.05691056412684292,0.19318181818181818,0.288135593220339,0.23129251220139765
"we consider meson radiative decays within the framework of @xmath0 gauge symmetry . 
 this approach is based on the linear sigma - model extended by the gauge and quark - meson interactions . 
 physical content and parameters of the model are discussed . 
 theoretical predictions for some radiative decays of vector mesons are in a good agreement with the experimental data .","we present the model of other other systems is not not no agreement with the corresponding to a single - state . the . this paper we present two fields of ir - photon data , an arbitrary model in the @xcite , thus to the fermi density spectrum for a large . the presence of a factor factor at small temperature at all an results will show that for the presence of the @xmath0 are expected for the results of the quantum fields . , [ ) , [ first , the @xmath5 ) has been calculated at tb of the presence of an important way . in the ) . these properties of the time - ray scattering of the photon systems with @xmath0@xmath6 , e. the eigenmagnetic photon , a small small ) the @xmath11 . however , as the system of two particle , we have the experimental study on a new analysis of general analysis of - waveity and @xmath0 and which we find that are small - band is , and @xmath35 are consistent with a , where @xmath1 and @xmath1-p _ cm",0.4090909090909091,0.1956521739130435,0.2647058779757786,0.08928571428571429,0.02976190476190476,0.04464285339285746,0.3409090909090909,0.16304347826086957,0.2205882309169551
"persistent currents and drude weights are investigated for the tight - binding approximation to one - dimensional rings threaded by a magnetic flux and with potential given by some almost - periodic substitution sequences with different degrees of randomness , and for various potential strengths . 
 the drude weight @xmath0 distinguishes correctly conductors and insulators , in accordance with the results shown by the currents . in the case of insulators 
 the decay of @xmath1 for large ring lengths @xmath2 provides an estimate for the localization length of the system . 
 it is shown that the more random the sequence does not imply the smaller conducting properties . 
 this discrepancy between the hierarchy of disorder of the sequences and the capacity of conduction of the system is explained by the gaps in the energy spectra . 
 + pacs numbers : 73.23.ra , 73.20.dx , 73.23.-b","the effective correlation for the system . the current interaction is more example , a a fixed phase - band to a @xmath1 ] and @xcite ) and its optical energy ) and a non - rays in other other systems is possible . we use @xmath5 , however . in an important conditions can lead to the main contribution of the phase transition in this technique . . this is @xmath0 a function . when the mass theory . the dynamics and magnetic field ) , but however , @xmath2 and @xmath0 . our analytical expressions is the ground field in the non - - , . in 2 , is a significant description of a low temperatures .",0.20430107526881722,0.2878787878787879,0.23899370583600343,0.0364963503649635,0.046296296296296294,0.040816321600666984,0.1935483870967742,0.2727272727272727,0.22641508948380215
"motivated by the recently proposed parallel orbital - updating approach in real space method @xcite , we propose a parallel orbital - updating based plane - wave basis method for electronic structure calculations , for solving the corresponding eigenvalue problems . in addition , we propose two new modified parallel orbital - updating methods . compared to the traditional plane - wave methods , our methods allow for two - level parallelization , which is particularly interesting for large scale parallelization . 
 numerical experiments show that these new methods are more reliable and efficient for large scale calculations on modern supercomputers . 
 density functional theory , electronic structure , plane - wave , parallel orbital - updating .","in the corresponding corresponding corresponding state in a standard system ) we have the ground - . the thermal structure of the two - of two temperatures in the @xmath1 in the . this paper of the , where @xmath2 (math1 ) , the non - up to the first first - fson states is @xcite . the magnetic fields [ , including the magnetic order to describe the eigenson and @xmath0 .",0.2,0.3170731707317073,0.24528301412424355,0.031914893617021274,0.047619047619047616,0.03821655570449166,0.15384615384615385,0.24390243902439024,0.188679240539338
"we present an implementation of the hierarchical tree algorithm on the individual timestep algorithm ( the hermite scheme ) for collisional @xmath0-body simulations , running on grape-9 system , a special - purpose hardware accelerator for gravitational many - body simulations . 
 such combination of the tree algorithm and the individual timestep algorithm was not easy on the previous grape system mainly because its memory addressing scheme was limited only to sequential access to a full set of particle data . 
 the present grape-9 system has an indirect memory addressing unit and a particle memory large enough to store all particles data and also tree nodes data . 
 the indirect memory addressing unit stores interaction lists for the tree algorithm , which is constructed on host computer , and , according to the interaction lists , force pipelines calculate only the interactions necessary . in our implementation , the interaction calculations are significantly reduced compared to direct @xmath1 summation in the original hermite scheme . for example , we can archive about a factor 30 of speedup ( equivalent to about 17 teraflops ) against the hermite scheme for a simulation of @xmath2 system , using hardware of a peak speed of 0.6 teraflops for the hermite scheme .","we present it has been observed ( lhc , we report on the cluster carlo approach , the optical and a high hole in the optical optical flux of magnitude of anisotropy to this present a significant way of the large evolution of the star ly systems in the star star star , and the stellar stellar background data into a first - , in . our study of agn . the local zeeman and and the number of its two particles @xmath0 iso - . we argue that all a few values of the . as a , @xmath7 , respectively . in the energy of @xmath1 . these results provide the magnetic field for the central analysis of the surface mass is @xmath2 and and in fig , and the first - type ) was also also be , which also study the data at this , @xmath0 ev , at the model , the . the system with the presence of the second . the data . , i. = msm.",0.25925925925925924,0.3111111111111111,0.2828282778696052,0.0670391061452514,0.08108108108108109,0.07339449045778074,0.21296296296296297,0.25555555555555554,0.23232322736455474
"the ideals of the eighteenth century s age of enlightenment are the foundation of modern democracies . 
 the era was characterized by thinkers who promoted progressive social reforms that opposed the long - established aristocracies and monarchies of the time . 
 prominent examples of such reforms include the establishment of inalienable human rights , self - governing republics , and market capitalism . 
 twenty - first century democratic nations can benefit from revisiting the systems developed during the enlightenment and reframing them within the techno - social context of the information age . 
 this article explores the application of social algorithms that make use of thomas paine s ( english : 17371809 ) representatives , adam smith s ( scottish : 17231790 ) self - interested actors , and marquis de condorcet s ( french : 17431794 ) optimal decision making groups . 
 it is posited that technology - enabled social algorithms can better realize the ideals articulated during the enlightenment . 
 = 1    collective decision making , computational governance , e - participation , e - democracy , computational social choice theory .","we construct a a new new simulations of the framework suggest that the center of high temperature analysis of stars , how the number of its photometric models , including the high resolution . while no al et al , a single ray model on single resolution are the central . we suggest that ) @xmath0 is to investigate the same sample at the existence of nonequilibrium is the existence of - , both two cases . the same cluster source by the sample of the magnetic fields and numerical results , and the standard results of the discovery . our system of the existence of physics is an important , . it was consistent to our two fields puls",0.10909090909090909,0.18181818181818182,0.13636363167613655,0.018518518518518517,0.02857142857142857,0.02247190534023583,0.09090909090909091,0.15151515151515152,0.11363635894886383
"we demonstrate that a stochastic model consistent with the scaling properties of financial assets is able to replicate the empirical statistical properties of the s&p 500 high frequency data within a window of three hours in each trading day . 
 this result extends previous findings obtained for eur / usd exchange rates . 
 we apply the forecast capabilities of the model to implement an explicit trading strategy . 
 trading signals are model - based and not derived from chartist criteria . in - sample and out - of - sample tests indicate that the model performs better than a benchmark asymmetric garch process , and expose the existence of small arbitrage opportunities . 
 we discuss how to improve performances and why the trading strategy is potentially interesting to hedge volatility risk for s&p index - based products . 
 anomalous scaling ; memory ; intraday returns ; intraday strategy .","a wide wide model of freedom of the surface . this work of . the , our studies , , and a strong field ( c.",0.07291666666666667,0.4117647058823529,0.1238938027535438,0.014925373134328358,0.09090909090909091,0.02564102321827768,0.07291666666666667,0.4117647058823529,0.1238938027535438
"in this work we describe the latest results for the measurements of the hyperfine structure of antiprotonic @xmath0he . 
 two out of four measurable super - super - hyperfine sshf transition lines of the @xmath1 state of antiprotonic @xmath0he were observed . 
 the measured frequencies of the individual transitions are @xmath2  ghz and @xmath3  ghz , with an increased precision of about 43% and 25% respectively compared to our first measurements with antiprotonic @xmath0he [ s. friedreich _ 
 et al . _ , 
 phys . 
 lett . 
 b 700 ( 2011 ) 16 ] . they are less than 0.5  mhz higher with respect to the most recent theoretical values , still within their estimated errors . 
 although the experimental uncertainty for the difference of @xmath4  ghz between these frequencies is large as compared to that of theory , its measured value also agrees with theoretical calculations . 
 the rates for collisions between antiprotonic helium and helium atoms have been assessed through comparison with simulations , resulting in an elastic collision rate of @xmath5  mhz and an inelastic collision rate of @xmath6  mhz .    version","the experimental experimental system . this paper ,. the function of the @xmath1 : c-@xmath0 is used in agreement with the @xmath3 and @xmath5 and @xmath1 are due to be , @xcite . we find for @xmath1 and the magnetic @xmath4 to the the case @xmath3 and @xmath5 . the @xmath0-b . the @xmath0-@xmath0 is a. in each linear state @xmath1 ) , . thus @xmath5 , ,left , one are well well as a ) : . the results that that the initial parameters of @xmath2@xmath6-6-f , for the super - wave field , the , @xmath3 . ( @xmath1)@xcite and @xmath14 is the same @xmath1-da ) and @xmath6 in this is the . as @xmath26 ss of the spin - dimensional , the firstpage ) , we note @xmath0 - ] . the eqeq . for @xmath3 _ , an important model , and @xmath8 $ ) _ . anisotropy , is the temperature @xmath0@xmath1 , i. we find such as a. the ) @xmath3 ) @xmath11 _d in a _ ( in the magnetic @xmath2 : j. [ j. to be @xmath0o@xmath1 : l. while then a new , as well - equilibrium @xmath0 , the . the standard material and @xmath0 and e. if for @xmath0 . the critical model . + ) a new new value @xmath0-p. by @xmath5. [ fig . let temperature @xmath2 @xmath1 . the quantum state of @xmath0 _ a good state @xmath2 the total @xmath4 , , ) for @xmath10 at @xmath8 , such that @xmath4 ) are in contrast , the number of @xmath11 to",0.27350427350427353,0.3018867924528302,0.2869955107072332,0.05421686746987952,0.03862660944206009,0.04511277709587303,0.27350427350427353,0.3018867924528302,0.2869955107072332
