abstract,generated,rouge1-r,rouge1-p,rouge1-f,rouge2-r,rouge2-p,rouge2-f,rougel-r,rougel-p,rougel-f
"to demonstrate the feasibility of studying the epoch of massive galaxy cluster formation in a more systematic manner using current and future galaxy surveys , we report the discovery of a large sample of proto - cluster candidates in the 1.62 deg@xmath0 cosmos / ultravista field traced by optical / ir selected galaxies using photometric redshifts . by comparing properly smoothed 3d galaxy density maps of the observations and a set of matched simulations incorporating the dominant observational effects ( galaxy selection and photometric redshift uncertainties ) , 
 we first confirm that the observed @xmath1 comoving mpc scale galaxy clustering is consistent with @xmath2cdm models . using further the relation between high - z overdensity and the present day cluster mass calibrated in these matched simulations , we found 36 candidate structures at @xmath3 , showing overdensities consistent with the progenitors of m@xmath4 m@xmath5 clusters . taking into account the significant upward scattering of lower mass structures , the probabilities for the candidates to have at least m@xmath6 m@xmath5 are @xmath7 . for each structure , about @xmath8 of photometric galaxy candidates are expected to be true proto - cluster members that will merge into a cluster - scale halo by @xmath9 . with solely photometric redshifts , 
 we successfully rediscover two spectroscopically confirmed structures in this field , suggesting that our algorithm is robust . 
 this work generates a large sample of uniformly - selected proto - cluster candidates , providing rich targets for spectroscopic follow - up and subsequent studies of cluster formation . 
 meanwhile , it demonstrates the potential for probing early cluster formation with upcoming redshift surveys such as the hobby - eberly telescope dark energy experiment and the subaru prime focus spectrograph survey .","introduction : this study was used in the potential of the effect of different for the field of the the biological sequences ( n = 0.02 : the development of a , it was compared to examine the ability to investigate the impact of the potential in in the effects using using various areas of the the human human in these results showed that the development of different different structure of future methods :the mean - , the impact on several role of the effect are available to be able to perform the efficacy of the expression of adipon and p = 0.001 were used to find the the development of the field of the prevalence of a , and the present study in order ( , with the effect of the number of the structure of each each . a specific use . data , the first of the experimental level of its stress ) from from the molecular molecular data were found into the , i and test , these research is more used to help by by one history ct , for the number , p , a and the groups did not assessed. in the results of .",0.1893491124260355,0.3368421052631579,0.2424242378170914,0.04924242424242424,0.07878787878787878,0.06060605587233316,0.15384615384615385,0.2736842105263158,0.19696969236254605
"this talk gives an elementary introduction to the basic properties of positronium . 
 recent progress in theoretical studies of the hyperfine splitting and lifetime of the ground state is reviewed . 
 sensitivity of these precisely measured quantities to some new physics effects is discussed . 
 # 1o(#1 )    = by -1    bnl - het-99/38 + hep - ph/9911455 + november 1999",", a key to the recent , we observed in this paper of the first first effects of the human human human the effects of , we present the genome of the gene and ) it , which could be used by using a small small . it is associated at the development of the use are used for the current effect of the major . in high - control , 3 - term , the two two groups were analyzed as well - resistant ( - up to both methods , a molecular of these findings of of these results such as a single old , which are applied to to examine each patient . , and their current current and . the first report . the number of , these data , and . the control . in a large research may be used to be increased in this database .",0.2653061224489796,0.17567567567567569,0.21138210902769528,0.05357142857142857,0.0234375,0.032608691417769925,0.24489795918367346,0.16216216216216217,0.19512194642606925
"we derive the exact solution for the optical conductivity @xmath0 of one hole in the holstein-@xmath1-@xmath2 model in the framework of dynamical mean - field theory ( dmft ) . 
 we investigate the magnetic and phonon features associated with polaron formation as a function of the exchange coupling @xmath2 , of the electron - phonon interaction @xmath3 and of the temperature . 
 our solution directly relates the features of the optical conductivity to the excitations in the single - particle spectral function , revealing two distinct mechanisms of closing and filling of the optical pseudogap that take place upon varying the microscopic parameters . 
 we show that the optical absorption at the polaron crossover is characterized by a coexistence of a magnon peak at low frequency and a broad polaronic band at higher frequency . 
 an analytical expression for @xmath0 valid in the polaronic regime is presented .","the last last their their aim of the human and methods , we present the . no evidence in this is the efficacy of the the impacts , in various method :the data in the role of the aim of these issues . we investigated as the experimental review are also also identified for different models could reflect the current species in the two - operative quality of these data between each to treat to to their species , the first and the most frequent , so and 3 as a new of . the effect were applied to a number of the major health and their use of this paper is the quality and . it is to the development of the effect . we found on the use of the data . the first , the best , , as significant role of the same technique , a role for , the impact of some of this issue of new aspects , especially no potential and the  , which is to help will also in the species on that has been observed in the most.",0.1590909090909091,0.1686746987951807,0.16374268506275452,0.030534351145038167,0.025477707006369428,0.02777777281852905,0.1590909090909091,0.1686746987951807,0.16374268506275452
"we consider meson radiative decays within the framework of @xmath0 gauge symmetry . 
 this approach is based on the linear sigma - model extended by the gauge and quark - meson interactions . 
 physical content and parameters of the model are discussed . 
 theoretical predictions for some radiative decays of vector mesons are in a good agreement with the experimental data .","we included their information on on on the information are been found to to its role of the experimental was measured using the effectiveness of of the different different different types in the potential to an effective and and an important as as as the the potential on these for some of the development of the most, complex of the aim of to to to to to whether . in the most of the the effects such as high . this information . this report the data is to the genome genome for the impact of the control level of the expression , the field of of both , it is to understand the quality of this has been discussed from this article in all the development of the genome based to the presence of these studies . the relationship between the data about the , on on the effect on the use of m of the most of the use and the effect and the field , we review of the relationship between the results , whereas a high . in the ability of the quality of human research . the present the impact of a significant correlation between the field . the database on the effect of the influence of the human human genome and 3 , .",0.36363636363636365,0.19753086419753085,0.25599999543808005,0.07142857142857142,0.025157232704402517,0.03720929847312101,0.29545454545454547,0.16049382716049382,0.2079999954380801
"persistent currents and drude weights are investigated for the tight - binding approximation to one - dimensional rings threaded by a magnetic flux and with potential given by some almost - periodic substitution sequences with different degrees of randomness , and for various potential strengths . 
 the drude weight @xmath0 distinguishes correctly conductors and insulators , in accordance with the results shown by the currents . in the case of insulators 
 the decay of @xmath1 for large ring lengths @xmath2 provides an estimate for the localization length of the system . 
 it is shown that the more random the sequence does not imply the smaller conducting properties . 
 this discrepancy between the hierarchy of disorder of the sequences and the capacity of conduction of the system is explained by the gaps in the energy spectra . 
 + pacs numbers : 73.23.ra , 73.20.dx , 73.23.-b","the united states that the context the research , is one of the effect of , we describe an effective methodsthis and to assess the importance of this study of which may may show an to a novel students ) . on this review are are thought to the development . the target between research may be alz conditions and the study was considered in the species through this review that that to find from these work - dependent quality of potential tools for a a a source of the potential bp the impact of a single of the protein are not have a a key role of all three to the species species . the effect of the results , but not ) with higher of the expression of . these information the . . data . we to the effect on the data should be be used to treat an individual care of its importance of the two groups revealed that this article are useful in the molecular students should be made from the the ic and the two results is considered by the number of the samples . the first report for the influence of those those : group of a , a ) of the importance of . a non - induced protein have been identified to the number of a field of , which are proposed to be found to their data may be be significant students . results of anova , and one of this paper regarding regarding a ) is associated with high of the two cases of the genome , the results , its research has a a a large process , the new students are known , or their their research ) , at a case of three knowledge of the species .conclusions ( 6 weeks , and the potential of the first out a number of the , its .",0.25806451612903225,0.19047619047619047,0.21917807730531066,0.06569343065693431,0.03515625,0.04580152217599383,0.24731182795698925,0.18253968253968253,0.21004565721398644
"motivated by the recently proposed parallel orbital - updating approach in real space method @xcite , we propose a parallel orbital - updating based plane - wave basis method for electronic structure calculations , for solving the corresponding eigenvalue problems . in addition , we propose two new modified parallel orbital - updating methods . compared to the traditional plane - wave methods , our methods allow for two - level parallelization , which is particularly interesting for large scale parallelization . 
 numerical experiments show that these new methods are more reliable and efficient for large scale calculations on modern supercomputers . 
 density functional theory , electronic structure , plane - wave , parallel orbital - updating .","however this article summarizes the research for the first- and functional functional students to examine the health models that data . the quality method between between the species in the , are increasingly increasingly increasingly knowledge ) for , it as this is known for some method between the current methods , which is an important and a biological - to the potential to the 0.05) of the first effect on the influence of the molecular and quality of other of the potential of a field of use is not the potential to alzlzheimer in the current new evidence of research for each of this paper the new quality of water to a , and 2 , by which is necessary for the number of new new , the time ) were assessed by the world can also the major study , the . we have limited and the , which also conducted in the the control and their their use a wide and a wide - related to evaluate from a a total of the relationship to the the genome models , the model , and different for the role of a promising in an evidence of this study .",0.2923076923076923,0.2159090909090909,0.24836600818488624,0.05319148936170213,0.02976190476190476,0.038167934330167796,0.24615384615384617,0.18181818181818182,0.2091503219103765
"we present an implementation of the hierarchical tree algorithm on the individual timestep algorithm ( the hermite scheme ) for collisional @xmath0-body simulations , running on grape-9 system , a special - purpose hardware accelerator for gravitational many - body simulations . 
 such combination of the tree algorithm and the individual timestep algorithm was not easy on the previous grape system mainly because its memory addressing scheme was limited only to sequential access to a full set of particle data . 
 the present grape-9 system has an indirect memory addressing unit and a particle memory large enough to store all particles data and also tree nodes data . 
 the indirect memory addressing unit stores interaction lists for the tree algorithm , which is constructed on host computer , and , according to the interaction lists , force pipelines calculate only the interactions necessary . in our implementation , the interaction calculations are significantly reduced compared to direct @xmath1 summation in the original hermite scheme . for example , we can archive about a factor 30 of speedup ( equivalent to about 17 teraflops ) against the hermite scheme for a simulation of @xmath2 system , using hardware of a peak speed of 0.6 teraflops for the hermite scheme .","the united united united states , the , a common with other , this research of this cross describes the effect or are widely used for this , which are required to to be shown to this paper into the effect of the present data of the genome of the research t4 , and on the research for health and , and and the world world and the potential in the , and their their species ; the development of the molecular is recommended to examine and more evidence of of the most studies also also described as available available , the new students are been shown to . here , as the control and on the , which include information in the health care , we have no statistically to the database , the information in different method and use . the other to the research , are commonly performed for these studies are are known to the field , the development of an important method for the first in addition . a possible as well as an critical study . a good and . the current of that was found in this , and they are not describe using the health . after the , , we discuss an important role of the students , there has . the effect .",0.19444444444444445,0.22105263157894736,0.2068965467446433,0.07262569832402235,0.07262569832402235,0.0726256933240227,0.17592592592592593,0.2,0.18719211324710636
"the ideals of the eighteenth century s age of enlightenment are the foundation of modern democracies . 
 the era was characterized by thinkers who promoted progressive social reforms that opposed the long - established aristocracies and monarchies of the time . 
 prominent examples of such reforms include the establishment of inalienable human rights , self - governing republics , and market capitalism . 
 twenty - first century democratic nations can benefit from revisiting the systems developed during the enlightenment and reframing them within the techno - social context of the information age . 
 this article explores the application of social algorithms that make use of thomas paine s ( english : 17371809 ) representatives , adam smith s ( scottish : 17231790 ) self - interested actors , and marquis de condorcet s ( french : 17431794 ) optimal decision making groups . 
 it is posited that technology - enabled social algorithms can better realize the ideals articulated during the enlightenment . 
 = 1    collective decision making , computational governance , e - participation , e - democracy , computational social choice theory .",the most common common in new data and research for the understanding of is a new new system on the world . the most . although the the two processes of an important role of the most research system . this is reported by the use of this paper were used for . the genome to the effect of the highest results of this research with a small of quality and the database of this paper the purpose of this paper paper to investigate the main main problem at the research research will be used ) . the information in the data indicated to make more . the quality of our knowledge .,0.09090909090909091,0.19230769230769232,0.12345678576436535,0.018518518518518517,0.03125,0.023255809280693204,0.09090909090909091,0.19230769230769232,0.12345678576436535
"we demonstrate that a stochastic model consistent with the scaling properties of financial assets is able to replicate the empirical statistical properties of the s&p 500 high frequency data within a window of three hours in each trading day . 
 this result extends previous findings obtained for eur / usd exchange rates . 
 we apply the forecast capabilities of the model to implement an explicit trading strategy . 
 trading signals are model - based and not derived from chartist criteria . in - sample and out - of - sample tests indicate that the model performs better than a benchmark asymmetric garch process , and expose the existence of small arbitrage opportunities . 
 we discuss how to improve performances and why the trading strategy is potentially interesting to hedge volatility risk for s&p index - based products . 
 anomalous scaling ; memory ; intraday returns ; intraday strategy .","the the purpose of human teeth of a recent will in this research of the the aim of this prospective knowledge to to to to to to to to to to to to to to to to to to to to new . the species . to compare the experimental experimental . the the method ) . we discuss its target and to compare the most most research of the quality of the use of the research can be used as the information ) , and , and methods . results show by time , and their their use of this issue in these research analysis with the understanding of research - old evidence of the , and a variety of this and the the data and a novel novel system ( prna for molecular strategies of the analysis and a protein , a number of three three research to . we found in the molecular molecular molecular - . we will not not not in the number on the , a new understanding of the species : the , which include well as three research of an important of new survey and 1 , these , and , and , is to provide in the time , using a modified of .",0.1875,0.23684210526315788,0.2093023206489996,0.03731343283582089,0.03333333333333333,0.03521126262150438,0.1875,0.23684210526315788,0.2093023206489996
"in this work we describe the latest results for the measurements of the hyperfine structure of antiprotonic @xmath0he . 
 two out of four measurable super - super - hyperfine sshf transition lines of the @xmath1 state of antiprotonic @xmath0he were observed . 
 the measured frequencies of the individual transitions are @xmath2  ghz and @xmath3  ghz , with an increased precision of about 43% and 25% respectively compared to our first measurements with antiprotonic @xmath0he [ s. friedreich _ 
 et al . _ , 
 phys . 
 lett . 
 b 700 ( 2011 ) 16 ] . they are less than 0.5  mhz higher with respect to the most recent theoretical values , still within their estimated errors . 
 although the experimental uncertainty for the difference of @xmath4  ghz between these frequencies is large as compared to that of theory , its measured value also agrees with theoretical calculations . 
 the rates for collisions between antiprotonic helium and helium atoms have been assessed through comparison with simulations , resulting in an elastic collision rate of @xmath5  mhz and an inelastic collision rate of @xmath6  mhz .    version","several several novel neurocarditis ) : the development of a recent studies on the natural natural natural therapeutic strategies to help in the key studies . we identified . of this web web to identify it is rare and this study demonstrated the biotopic which of a . we present in a number of the . the aim of human human - generation in this system in in their to the importance of their present three and methods methods , and the effects were used as a recent recent recent evidence for the experimental effects for it also used , the present , have have that in the human human protein . at the current is to be be achieved and of of .results s . results , whereas of the highest the results , both in the effects and the other studies showed no significant differences with severe or treatment of micro - sectional experimental analysis in ana . one of a new care of of the data was the results suggest that in the number of the experimental of a number of , the need to be the application of our paper , , or h. the two in the field model with various various information and the analysis . .",0.21367521367521367,0.26595744680851063,0.23696681970396002,0.030120481927710843,0.02824858757062147,0.029154513955580587,0.17094017094017094,0.2127659574468085,0.18957345477505008
