abstract,generated,rouge1-r,rouge1-p,rouge1-f,rouge2-r,rouge2-p,rouge2-f,rougel-r,rougel-p,rougel-f
"to demonstrate the feasibility of studying the epoch of massive galaxy cluster formation in a more systematic manner using current and future galaxy surveys , we report the discovery of a large sample of proto - cluster candidates in the 1.62 deg@xmath0 cosmos / ultravista field traced by optical / ir selected galaxies using photometric redshifts . by comparing properly smoothed 3d galaxy density maps of the observations and a set of matched simulations incorporating the dominant observational effects ( galaxy selection and photometric redshift uncertainties ) , 
 we first confirm that the observed @xmath1 comoving mpc scale galaxy clustering is consistent with @xmath2cdm models . using further the relation between high - z overdensity and the present day cluster mass calibrated in these matched simulations , we found 36 candidate structures at @xmath3 , showing overdensities consistent with the progenitors of m@xmath4 m@xmath5 clusters . taking into account the significant upward scattering of lower mass structures , the probabilities for the candidates to have at least m@xmath6 m@xmath5 are @xmath7 . for each structure , about @xmath8 of photometric galaxy candidates are expected to be true proto - cluster members that will merge into a cluster - scale halo by @xmath9 . with solely photometric redshifts , 
 we successfully rediscover two spectroscopically confirmed structures in this field , suggesting that our algorithm is robust . 
 this work generates a large sample of uniformly - selected proto - cluster candidates , providing rich targets for spectroscopic follow - up and subsequent studies of cluster formation . 
 meanwhile , it demonstrates the potential for probing early cluster formation with upcoming redshift surveys such as the hobby - eberly telescope dark energy experiment and the subaru prime focus spectrograph survey .","On recent, to the United States which may the ""an U. The United States: an overview. The United States have been updated as a series of the United States and the new new energy. This report will continue to the U. The National Information Act for nonbased power from the largest number of these elements the United States"""" of the U. The Constitution to the United States, and other products and the mid-1990s were not been made by the Departments) to all factors-related problems. States. To yet been focused on the first several key role in recent years that would have been unable to the United States have the U. The House Appropriations Act (Ms for the future growth in the new oil. Both the United States has been taken two two two-related provisions of the U.e. In the current current government's. This report summarizes a larger information of the Supreme Court are in the number of the same same time, and the two years affecting one of the Court in its own own in its own financial institutions, the U. The Air Force received an effective changes can be updated.L. There are are generally provide several initiatives have taken at the number of the number of U. The House and CRS recommendation and Mexico. This report describes the Senate is the ""for particular, in nonfederal resources to respond to reduce the House and (2) the region.S. This statement discusses the potential for the U. The Court of the time, and the Supreme Court's (N. However, and nongovernmental governments.R.R. Additionally, a higher than the ""year period would be updated as ""significants of the majority of the federal law in the same time, but they have been in some some instances, a small businesses. The report discusses these provisions of the current current policy, as warranted, the second range of the same period. The2009. The The Administration or other cases and for certain aspects was a whole-including U. This report was been limited by these data. If a second second decade would not require the Supreme Court to a large in the world-in one-related factors and  responsibilities was introduced the National and Related Agencies on a substantial substantial substantial cost of these factors GAO found that the future in July 2010. Among the U. While the future resources.",0.15384615384615385,0.14285714285714285,0.14814814315500704,0.030303030303030304,0.02531645569620253,0.027586201936742865,0.14792899408284024,0.13736263736263737,0.14245013745700133
"this talk gives an elementary introduction to the basic properties of positronium . 
 recent progress in theoretical studies of the hyperfine splitting and lifetime of the ground state is reviewed . 
 sensitivity of these precisely measured quantities to some new physics effects is discussed . 
 # 1o(#1 )    = by -1    bnl - het-99/38 + hep - ph/9911455 + november 1999","The government's (i.L.R. The Department (FY)) provides information. A A A legislative or their own. The Court in the extent include certain assistance as a new U. They argue.R. This report provides for a few years. For example, and local entities for the number of the Senate in the same information.Res. In June 2003, the Court and in the Court has no report is often consider such as to consider a single decade, the number of the U. In 2008, the government government and (2) ""fair., including local governments from the federal government may be an effort to other federal role of the federal government for the first first first period of the public. The House and  responsibilities and state may not be established in the number of the scope of the state, the nation's ""in a lack of the U. If the Court is a result: On March 31, 2010, a result in the Court made in that a discussion of the Senate and Reinvestment Act was signed on a variety of the Court are being funded.R. This report discusses the use with the ""unununununth ""year period, both a comprehensive for its Court may also in the states (FY Nations Nations, the time of law that it was authorized which was been delayed under the credit. This report will allow federal workers. This report provides a lower lower on recent months-related areas in a variety of Justice Act and international investment, but not yet made the tax. To do not be reduced by the authority. It provides a total-Frank Act of non-term issues, or their new new role in place the average. The 112th Congress. The state's role.",0.22448979591836735,0.0728476821192053,0.10999999630050011,0.017857142857142856,0.0040650406504065045,0.006622513535372633,0.20408163265306123,0.06622516556291391,0.09999999630050013
"we derive the exact solution for the optical conductivity @xmath0 of one hole in the holstein-@xmath1-@xmath2 model in the framework of dynamical mean - field theory ( dmft ) . 
 we investigate the magnetic and phonon features associated with polaron formation as a function of the exchange coupling @xmath2 , of the electron - phonon interaction @xmath3 and of the temperature . 
 our solution directly relates the features of the optical conductivity to the excitations in the single - particle spectral function , revealing two distinct mechanisms of closing and filling of the optical pseudogap that take place upon varying the microscopic parameters . 
 we show that the optical absorption at the polaron crossover is characterized by a coexistence of a magnon peak at low frequency and a broad polaronic band at higher frequency . 
 an analytical expression for @xmath0 valid in the polaronic regime is presented .","The congressional request of the majority or its military. 3 years, especially from the country on: The House—such as a portion of these recommendations, including, especially in the United States States of the Department of the current current court and the Federal Acquisition Acquisition Acquisition War, to a lack of his role of the number of the global education, as amended to the United States.R. Most Most key sources of the United States has the first decade, the District of the Court to the defendant to protect the United States has been required by the United States. This report discusses the world, if any requirement to a particular increases of a new years of the cost of the public, including economic downturn in the future. The number of the right of any number of the future. This report the U. The Supreme Court of some of a comprehensive change to a broad than the Senate Committee. Several types of the new new new activity to what is still still the number of the constitutional measures of a number of a a more than a number of the PBM), and political of a number of the United States. Over the National Defense, and the use the new crisis that they are a number of the potential cost for how to the United States v.R.L. This bill, which could have already been a significant than the most significant increase in the number of the U. They will be done, whereas a result, the United States.",0.13636363636363635,0.10084033613445378,0.11594202409764544,0.04580152671755725,0.031088082901554404,0.037037032220127136,0.11363636363636363,0.08403361344537816,0.09661835260006095
"we consider meson radiative decays within the framework of @xmath0 gauge symmetry . 
 this approach is based on the linear sigma - model extended by the gauge and quark - meson interactions . 
 physical content and parameters of the model are discussed . 
 theoretical predictions for some radiative decays of vector mesons are in a good agreement with the experimental data .","On February 2009. The United States and the United States in the World Administration's previous years were a "" ""year period by June 2014 2014"" to the country. On FY2009.S. This report focuses on the United States and to the Senate Appropriations Act, the United States under a national national national national security and an integrated integrated the new new new new new security security is required two to the number of the majority of the potential implications for the second cost to the House (P. Although the potential potential to Congress was asked to support the U. This report, and how the most of the most HEA) has not receive them. This report describes the public public and the public public security.C. In 2005, the number of their own resources, however, the Supreme Court of the second second second cost of the federal spending for certain criteria over the ""the transition. Other factors, and political sources of China's budget, or the future. This report provides the world, the public assistance for this effort. It provides more than the federal government's decision because that are limited in the Bureau (about $21 billion in this report provides a ""rere213 million in an opportunity to the system, and the same requirement for the federal debt were a clear. When a lack of an estimated that was limited, many stakeholders, among the number of the right to ""for example, the United States. In some observers may be used more on the number of a range. Many of the United States and it focuses on a major major major major federal government efforts to the potential significant and the President President Obama Administration (H. The Court of the need for example, a whole in part of the federal funds to provide the end of the two bills are intended steps in June 1, 2016, and (2) there is to provide the results, the overall overall information in a number of existing regulatory activities. To meet the national security standards at an additional resources for an important for the public as an average cost and a process at the risk or a timely. They not do not have arisen that the government and may result of the U. The President Obama Administration, an update to the government. The majority of the cost to provide a combination of the future future. The Office of all of ""in the first action or a broad element of the extent to be completed by a new new government may be a number of the Bureau of the use for a greater greater than some areas for such as the first",0.2727272727272727,0.061224489795918366,0.09999999700555565,0.05357142857142857,0.0084985835694051,0.0146699242869188,0.22727272727272727,0.05102040816326531,0.083333330338889
"persistent currents and drude weights are investigated for the tight - binding approximation to one - dimensional rings threaded by a magnetic flux and with potential given by some almost - periodic substitution sequences with different degrees of randomness , and for various potential strengths . 
 the drude weight @xmath0 distinguishes correctly conductors and insulators , in accordance with the results shown by the currents . in the case of insulators 
 the decay of @xmath1 for large ring lengths @xmath2 provides an estimate for the localization length of the system . 
 it is shown that the more random the sequence does not imply the smaller conducting properties . 
 this discrepancy between the hierarchy of disorder of the sequences and the capacity of conduction of the system is explained by the gaps in the energy spectra . 
 + pacs numbers : 73.23.ra , 73.20.dx , 73.23.-b","This report the extent, by the extent are a number of a broad range of non-standing actions with their own, many year by the United States to these issues. The Obama Administration would would have been the Supreme Court requires what is one rate, but the extent to a particular, the Court have enacted for an effort, some in a result, the state and federal agencies that has been completed for the United States, to the extent to be important important, it to meet the amount that that a new new institutions and nongovernmental data from the state-related management of these measures in the ""term role from H.",0.17204301075268819,0.22535211267605634,0.19512194630948854,0.021897810218978103,0.029411764705882353,0.025104597617689718,0.12903225806451613,0.16901408450704225,0.14634145850461053
"motivated by the recently proposed parallel orbital - updating approach in real space method @xcite , we propose a parallel orbital - updating based plane - wave basis method for electronic structure calculations , for solving the corresponding eigenvalue problems . in addition , we propose two new modified parallel orbital - updating methods . compared to the traditional plane - wave methods , our methods allow for two - level parallelization , which is particularly interesting for large scale parallelization . 
 numerical experiments show that these new methods are more reliable and efficient for large scale calculations on modern supercomputers . 
 density functional theory , electronic structure , plane - wave , parallel orbital - updating .","Congress Congress is still to the United States, in a number and the federal government in the extent to regulate up to extend the first and it will will not not do not more than the last years in the Supreme Court of U.L. In May 2010 (P). This report discusses the state and (2) the future. This report provides a substantial in U. For the largest time in the number of the number of its ability to determine the number of Columbia, the federal government on the right to the current use this year (c) and BIA that are more efficient efficient a variety of any cost.S.S. However, and gas expenses and Human Services (including some to be useful to implement the number of the end of drug information, has held significant of the most significant impact for the first role into  ) to other things, and some of the majority of the Department of the first first review—referred to be developed by the potential for the President's decision in some of the time of the cost. In addition, there should not have changed to be necessary to the program, the program, the time.L. Since July 2011, however, to all of the number of a new development of the ""passed to Congress, however, or by the most of drug use under the private property for the District of the future number of the new-Frank Act (P, especially about 4 years. Among the ""high areas and its own information. Since the public, as high risk of the United States."" The country's (HHS) of the world, the first first-fired workers to a number of the United States on the cost cost of the end of the number, and the ""best or some instances in the cost and the use and natural gas, and others. The Court, the private sector, and some observers have been introduced the number of the United States has not yet to have been considered any challenge will be limited for which was in the number of the right program for the number of the number of the U. It is likely likely to their implications that can report on January 2016. Although the new new data for the use their own, in both Members and natural gas activities. The United States may require any assessment was included in the potential to protect it would be used to to the right to the value of the United States, the United States States is to establish the effects to address an individual benefits, and U. For fiscal year. In the extent",0.23076923076923078,0.08021390374331551,0.11904761521951387,0.031914893617021274,0.008849557522123894,0.013856809533786815,0.2153846153846154,0.0748663101604278,0.11111110728300592
"we present an implementation of the hierarchical tree algorithm on the individual timestep algorithm ( the hermite scheme ) for collisional @xmath0-body simulations , running on grape-9 system , a special - purpose hardware accelerator for gravitational many - body simulations . 
 such combination of the tree algorithm and the individual timestep algorithm was not easy on the previous grape system mainly because its memory addressing scheme was limited only to sequential access to a full set of particle data . 
 the present grape-9 system has an indirect memory addressing unit and a particle memory large enough to store all particles data and also tree nodes data . 
 the indirect memory addressing unit stores interaction lists for the tree algorithm , which is constructed on host computer , and , according to the interaction lists , force pipelines calculate only the interactions necessary . in our implementation , the interaction calculations are significantly reduced compared to direct @xmath1 summation in the original hermite scheme . for example , we can archive about a factor 30 of speedup ( equivalent to about 17 teraflops ) against the hermite scheme for a simulation of @xmath2 system , using hardware of a peak speed of 0.6 teraflops for the hermite scheme .","This report summarizes the impact of the potential value of the use. The Department of how is the way to increase in addition, Congress on the number of its ability to be be needed to provide a formal systems in the government's (VA), which as a single statement statement on that the future to which is that would provide this rule. The report will likely to obtain a result in the basis by [authorize and the two-and-based and interviewed can include the Air Force's use by [author name scrubbed]. Several elements of the United States's mission for both the basis for the system, including the cost of the number of which the remaining 3th Congress should be difficult for the lack of the public and a wide wide range of its long-fired and the most more than the new framework at least a key information, and other things, while a variety of the same. Many of the end of the United States could help the highest rates and the costs among two instances in the Bureau of this period. In addition, and the same time.S. In March 2013, and how they will not meet them are too important; and in order. Among the remaining 2th Congress. The most key information on the ability to assess the overall, the current policy. These related to provide for an effort's (H. 111th Congress will be updated will be more than one year after all types of an accurate and what will be updated.L. For several steps to make those elements of the risk, and Human Services (HUDs 2006 at low, and the ability to the Bureau was not be completed by the basis to ensure that would choose to the public, it is in the potential number of non-risk framework for the Bureau of the United States. These mechanisms at the extent to address such as the risk of the most common, a variety of the same number of any information",0.16666666666666666,0.11042944785276074,0.13284132361923193,0.05027932960893855,0.032490974729241874,0.039473679441463336,0.1388888888888889,0.09202453987730061,0.11070110221701795
"the ideals of the eighteenth century s age of enlightenment are the foundation of modern democracies . 
 the era was characterized by thinkers who promoted progressive social reforms that opposed the long - established aristocracies and monarchies of the time . 
 prominent examples of such reforms include the establishment of inalienable human rights , self - governing republics , and market capitalism . 
 twenty - first century democratic nations can benefit from revisiting the systems developed during the enlightenment and reframing them within the techno - social context of the information age . 
 this article explores the application of social algorithms that make use of thomas paine s ( english : 17371809 ) representatives , adam smith s ( scottish : 17231790 ) self - interested actors , and marquis de condorcet s ( french : 17431794 ) optimal decision making groups . 
 it is posited that technology - enabled social algorithms can better realize the ideals articulated during the enlightenment . 
 = 1    collective decision making , computational governance , e - participation , e - democracy , computational social choice theory .","At the United States, in a number of Defense Authorization Act of the U. The responsibilities, the United States has a legislative proposals for this authority are being subject to an independent agency can be able to a comprehensive and [author name scrubbed]. In December 2005, the public and the time. The program. This report will require that an entity with a variety of a significant steps or non-based resources for federal government, including a result in the United States. The report. Most of law on the Senate Appropriations), was intended and their proposed ""otherother and the United States also also found that the Department of the Federal Acquisition Committee that a key provisions. On July 2012 (the U. These agencies have been a variety of Congress for federal laws for a ""nonth Congress has been updated as of the program's the process. The Constitution has been the number of an increase the Department, which may not receive the national national national capital challenges to the Court. The current and security concerns are designed to the first action by the role within the country as the Supreme Court Court's (P. While the country (DOD) and it would amend the number of foreign and the extent to which a government is also be able to conduct high-risk of the government-year role of the second changes in the Court of the public, such as part of Commerce has found in the United States should be unable to provide a result, as a particular, and the extent to provide a significant policy. A Court and the rule from the U. In this statement of a U. At one of new strategy is in the federal agencies have been made by the U. This report.S. With the potential potential implications-for the process is made a large number of the extent to be considered significant action in the program was authorized to a key challenges could be updated as a provision, or any specific authority to some cases of existing, including an important provisions about what, it would be the current rules are generally established a variety of this provision of the federal agencies, the agency, and its national security.g. It is in the current law, the s. Although certain information.",0.17272727272727273,0.10614525139664804,0.1314878845583747,0.018518518518518517,0.009523809523809525,0.0125786118666208,0.13636363636363635,0.08379888268156424,0.10380622365872078
"we demonstrate that a stochastic model consistent with the scaling properties of financial assets is able to replicate the empirical statistical properties of the s&p 500 high frequency data within a window of three hours in each trading day . 
 this result extends previous findings obtained for eur / usd exchange rates . 
 we apply the forecast capabilities of the model to implement an explicit trading strategy . 
 trading signals are model - based and not derived from chartist criteria . in - sample and out - of - sample tests indicate that the model performs better than a benchmark asymmetric garch process , and expose the existence of small arbitrage opportunities . 
 we discuss how to improve performances and why the trading strategy is potentially interesting to hedge volatility risk for s&p index - based products . 
 anomalous scaling ; memory ; intraday returns ; intraday strategy .","The report examines the state has been the United United States has been been been a new U. The U. For instance, not established a broad range of the United States (P. The rule'ss"" (E.L. ContingencyContingencyContingencyContingency Protection Agency: 1 (c) requires many of the Court Court are considered to be updated with all the majority of the U. The Department of the national development of all non-term financial statements and a separate to increase the number of the United States.L. However, and some cases related to the National Guard and ""significant, the end of its current legislative authority. If the President's.L. This report will be used to the end of the ""reasonable number of Commerce, the ""in the new new new power of foreign nationals in some countries that some federal government's ) with the U. In a substantial portion of the number of the ""best. The new new constitutional of the U. However, the number of the same time, in the majority can be updated. The final court and the ""related role in response to an individual was signed the U. However, are an action at each report examines (1) the second increase in the highest-income states that the majoritys, and political-third of the United States, and the total market, the highest of this authority and others., it had held an overview of the private-level prices of a substantial provisions in accordance with more than the national and the most large number of the number of federal debt rate of the federal government. The court.R.L during the United States that are an average of the program in the number of federal government. Further, particularly one-time-to all of the number of the basis. At the U. These provisions of the new new U. It is being subject to the impact of federal government, according to the number, although this issue that this analysis. However, see CRS Report R-sharing process of new trade. The National Care and Reinvestment Act of a draft of the constitutional or state and international international international factors, the future growth. To maintain the time of the time, the impact of some aspects of the Supreme Court received an additional additional assistance to the basis. Many of a more cost of congressional action on the future.L. Other developments for the end of these data for this report will be updated as the number in March 2013, see the potential to address the time, but",0.20833333333333334,0.10810810810810811,0.14234874994997546,0.022388059701492536,0.009146341463414634,0.012987008868650694,0.17708333333333334,0.0918918918918919,0.1209964367827157
"in this work we describe the latest results for the measurements of the hyperfine structure of antiprotonic @xmath0he . 
 two out of four measurable super - super - hyperfine sshf transition lines of the @xmath1 state of antiprotonic @xmath0he were observed . 
 the measured frequencies of the individual transitions are @xmath2  ghz and @xmath3  ghz , with an increased precision of about 43% and 25% respectively compared to our first measurements with antiprotonic @xmath0he [ s. friedreich _ 
 et al . _ , 
 phys . 
 lett . 
 b 700 ( 2011 ) 16 ] . they are less than 0.5  mhz higher with respect to the most recent theoretical values , still within their estimated errors . 
 although the experimental uncertainty for the difference of @xmath4  ghz between these frequencies is large as compared to that of theory , its measured value also agrees with theoretical calculations . 
 the rates for collisions between antiprotonic helium and helium atoms have been assessed through comparison with simulations , resulting in an elastic collision rate of @xmath5  mhz and an inelastic collision rate of @xmath6  mhz .    version","After the House House. international Medicaid and state state state health care.S). Since the U. The majority of the Federal Federal Reserve Program was asked to the United States or to a result, not yet to promote a variety of the number of such as amended. After the federal-Frank Act of the Federal Aviation Fund of the state market would also used to obtain and environmental requirements, there are not be used, and other things, the majoritys of the number of the new new products that the most most most, it was held a broad-U-term concern such as the Supreme Court of the new political sources as the Court might have to promote a result in which has made in federal lands. The Senate has seen by the federal government; and Affordable Care Act of the Supreme Court Court of the second second second second second-thethe Court has been a few states and a variety of the two states and the right for the country. The Supreme Court (including the potential potential for the right to the Senate Appropriations and gas (P.the majority in the federal funding for the United States and CRS Report RL RL33P)—an state and the Court should be updated as possible that was not been updated as they may result in a single single single single-year number of the Supreme Court received some states that is ""tototo the House, see CRS Report R40 million to the federal or his-sharing, and others for the most factors GAO had not yet, are being created as a wide range of a number of the current state, the states have been been a ""passed or the same time-timetime-of-aa) is working to all states may be be updated as one term on the nation's ""comcomative of other states.R. An effective in each areas, and other things, the majority of the most most most likely than Congress also also discusses whether whether the number of the end of the total of the Supreme Court in January 2009 under the same period of the provision, such as small businesses.S. The public assistance in a few states for the federal-passed bills, but some federal debt and the use the primary primary primary primary proposals, and the use in the ""economic drug. The state and local states.R.S.Res. Some states such as of the total total total of non-standing factors were not yet an abridged abridged version of the state, as ""in the United Nations and H. There",0.1794871794871795,0.11731843575418995,0.14189188711125839,0.030120481927710843,0.015432098765432098,0.020408158785173824,0.15384615384615385,0.1005586592178771,0.12162161684098814
