abstract,generated,rouge1-r,rouge1-p,rouge1-f,rouge2-r,rouge2-p,rouge2-f,rougel-r,rougel-p,rougel-f
"vera , the vienna environmental research accelerator , is especially equipped for the measurement of actinides , and performs a growing number of measurements on environmental samples . 
 while ams is not the optimum method for each particular plutonium isotope , the possibility to measure 239pu , 240pu , 241pu , 242pu and 244pu on the same ams sputter target is a great simplification . 
 we have obtained a first result on the global fallout value of 244pu/239pu  =  ( 5.7 
 1.0 )    105 based on soil samples from salzburg prefecture , austria . 
 furthermore , we suggest using the 242pu/240pu ratio as an estimate of the initial 241pu/239pu ratio , which allows dating of the time of irradiation based solely on pu isotopes . we have checked the validity of this estimate using literature data , simulations , and environmental samples from soil from the salzburg prefecture ( austria ) , from the shut down garigliano nuclear power plant ( sessa aurunca , italy ) and from the irish sea near the sellafield nuclear facility . 
 the maximum deviation of the estimated dates from the expected ages is 6  years , while relative dating of material from the same source seems to be possible with a precision of less than 2  years . 
 additional information carried by the minor plutonium isotopes may allow further improvements of the precision of the method .","a complex such as well - model is the methods , the use ( , and with the role the world is is the objective , 3.",0.06015037593984962,0.42105263157894735,0.10526315570723688,0.009569377990430622,0.08,0.01709401518555066,0.05263157894736842,0.3684210526315789,0.09210526097039479
"background : we recently indicated that patient age on its own is not a determinant of quality of allied health care received after an acute stroke . 
 it has not been tested whether other non - age variables influence care decisions made by allied health professionals . 
 this paper explores demographic and stroke - related variables that are putatively associated with the quality of care provided to acute stroke patients by allied health professionals.methods:data were retrospectively audited from 300 acute stroke patient records regarding allied health care . 
 compliance with each of 20 indicators of allied health care quality was established . 
 the influence of various demographic and stroke - related variables on each performance indicator was examined . 
 we undertook a series of analyses using univariate logistic regression models to establish the influence of these variables on care quality.results:patient age had a significant correlation with only one process indicator ( early mobilization ) . 
 seven variables , including stroke severity and level of dependence , were associated with patient age . the majority of these age proxies had significant associations with process indicator compliance . 
 correlations between non - age variables , in particular stroke severity and comorbidity , suggest the potential for complex confounding relationships between non - age variables and quality of allied health care.conclusion:compliance with individual indicators of allied health care was significantly associated with variables other than patient age , and included stroke severity , previous independence , comorbidities , day of admission , stroke unit admission , and length of stay . 
 the inter - relationships between these non - age variables suggest that their influence on quality of care is complex .","objective : methods to evaluate evaluate the purpose of health health care care care care outcomes and data data reported the health to investigate the life gastrointestinal health students . the aim of students that with medical care health status were observed and methods . however , and research , patients with an effective care . methods .results: the quality ck . mean mean age , and and control population had reported , . the study , in the the prevalence of life . the most common students are available using using age , women with medical , the most effective . the health health system has shown using the knowledge and methods , and the ) and one population . therefore , and 5 years of the . in two patients ( a .conclusionfor years . the patients , as a review review is very a questionnaire.",0.1968503937007874,0.3787878787878788,0.25906735301242995,0.02304147465437788,0.04,0.02923976144369281,0.16535433070866143,0.3181818181818182,0.21761657581035743
"chromosomal heteromorphisms are described as interindividual variation of chromosomes without phenotypic consequence . 
 chromosomal polymorphisms detected include most regions of heterochromatin of chromosomes 1 , 9 , 16 and y and the short arms of all acrocentric chromosomes . here 
 , we report a girl with down - syndrome such as facies and tremendously enlarged short arm of a chromosome 22 . 
 fluorescence in situ hybridization ( fish ) with a probe specific for all acrocentric short arms revealed that the enlargement p arms of the chromosome 22 in question contained exclusively heterochromatic material derived from an acrocentric short arm . 
 parental studies identified a maternal origin of this heteromorphism . 
 cryptic trisomy 21 of the down - syndrome critical region was excluded by a corresponding fish - probe . here 
 , we report , to the best of our knowledge , largest ever seen chromosome 22 short arm , being ~1.5 larger than the normal long arm .","the main main . the treatment and in , which are still a potential by cutaneous . our use of these findings and methods , alzheimeraa in adipon , which were determined , , we describe the major use in aaa . the present a significant in our knowledge is no significant with mrna .conclusions . this technique for an independent predictors of e.",0.15463917525773196,0.35714285714285715,0.21582733391232348,0.014598540145985401,0.034482758620689655,0.020512816333465675,0.14432989690721648,0.3333333333333333,0.20143884470369036
"abstractrna interference ( rnai ) by oral delivery of dsrna in insects has great potential as a tool for integrated pest management ( ipm ) , especially with respect to addressing the need to reduce off - target effect and slow down resistance development to chemical insecticides . employing the natural association existing between insect and yeast 
 , we developed a novel method to enable the knock down of vital genes in the pest insect drosophila suzukii through oral delivery of species - specific dsrna using genetically modified saccharomyces cerevisae . 
 d. suzukii that were fed with our  yeast biopesticide  showed a significant decrease in fitness . in this perspective article 
 , we postulate that this approach could be adapted to a large number of species , given the great diversity of symbiotic interactions involving microorganisms and host species . 
 furthermore , we speculate that beyond its application as biopesticide , dsrna delivery by genetically modified microbes can also serve to facilitate reverse genetic applications , specifically in non - model organisms .","this study and the role of , this study was to identify as the , only and can be useful for the most studies have available a significant differences in molecular molecular and to determine the first first - cell diseases for the mechanism of the expression of the research , the function after the effect of both the effect with the gene has not described into a . this research. in the new processes after their results suggests a novel in the expression using the results , the . the bio bios , and cell lines. the role of the results of the first model of this this paper , are also . this to the expression of of two models . these groups was used s. on the cells and its research and they also also demonstrated that the .",0.20535714285714285,0.3333333333333333,0.25414364169103515,0.018633540372670808,0.024793388429752067,0.02127659084528054,0.16071428571428573,0.2608695652173913,0.1988950229065048
"cryoglobulinaemic mononeuritis multiplex ( mnm ) is an extrahepatic manifestation of chronic hepatitis c virus ( hcv ) infection for which interferon - based antiviral therapy is currently the treatment of choice . 
 rarely mnm can be associated with hcv treatment though generally in the setting of pre - existing cryoglobulinaemia and detectable hcv viraemia . 
 we report an unusual case of de novo mnm occurring late during the course of pegylated interferon and ribavirin therapy for chronic hcv infection , following a prolonged period of viral suppression . 
 the patient had no evidence of cryoglobulinaemia prior to hcv treatment and undetectable hcv rna levels at the time of presentation with mnm . 
 the case raises the possibility that mnm could develop as an adverse immunomodulatory effect of pegylated interferon therapy .",gastrointestinal disorder characterized by this study demonstrated two treatment : primary hypertensivesivesive therapy and the purpose of patients were performed in veveoma is to evaluate the case of the incidence of left side effects of .,0.10843373493975904,0.3,0.15929203149815968,0.016260162601626018,0.058823529411764705,0.025477703613128774,0.0963855421686747,0.26666666666666666,0.14159291645391192
"objective . to review the extant literature on the prevalence of overweight and obesity in adolescents ( 1019 years old ) of both sexes 
 . 
 design . 
 the search was carried out using medline and scopus considering articles published from the establishment of the databanks until june 7 , 2012 . 
 data on the prevalence of children being overweight and obese from the international obesity task force ( iotf ) website was also reviewed . only original articles and 
 one national health report were considered . 
 forty studies met the inclusion criteria . 
 results . 
 twenty - five of these studies were nationally representative , and ten countries were represented only by regional data . conclusions . 
 the prevalence of overweight and obesity among adolescents worldwide is high , and obesity is higher among boys . 
 the iotf criterion is the most frequently used method to classify adolescents as overweighed or obese in public health research .","objectives : this study was to investigate the prevalence of life - related to evaluate the health factors ) about a lower lower at the objective on the most effect of of age of women ( .materials and methods ) . the association between the s:the results in the study was used after quality of patients were assessed using the participants ( 4 cm ) . in the overall duration of patients with the study were enrolled , the intervention among life. in the patients were more aggressive hospital and mean mean age .results: with the test.results:the questionnaire ) and data have used at the subjects who had a lower and women and 4 , patients are associated with a : the mean age . the prevalence of the prevalence of ) . results were evaluated ) and 45.2% , respectively , respectively , 4 weeks .conclusions ( p ) ) ( ( : we selected to identify health care care care of the quality rate of children. the subjects at more than than age ( p , which developed .",0.24468085106382978,0.27380952380952384,0.25842696130791576,0.045454545454545456,0.038461538461538464,0.04166666170138949,0.20212765957446807,0.2261904761904762,0.2134831410831967
"intramuscular teicoplanin ( 400  mg every 12  h for three doses , then 400  mg daily , intramuscularly ) was prescribed for a 37-year - old woman with presumptive diagnosis of cellulitis . on the 14th day of treatment , she developed generalized maculopapular rash , accompanied by fever , wheezing , shortening of breath , and lymphadenopathy . 
 lab tests revealed abnormal liver enzymes , leukocytosis , and eosinophilia . 
 the treatment was interrupted with suspicion of drug reaction . 
 fever subsided after 48  h. skin eruption and respiratory symptoms began to resolve within 2  weeks . 
 the follow - up lab tests performed 1  month later indicated resolution of liver dysfunction . 
 with respect to delayed onset of symptoms including fever , generalized rash , lymphadenopathy , and organ involvement , drug reaction with eosinophilia and systemic symptoms ( dress ) was highly suspected . 
 the causality was evaluated by conventional scoring systems . 
 the reaction was rated as probable ( score  =  5 ) according to regiscar and possible ( score  =  5 ) based on kardaun et al.s scoring system . 
 however , dress was not confirmed by the japanese group s criteria for diagnosis of dress / drug - induced hypersensitivity syndrome ( dihs ) .","an uncommon to the development of . the patient had important role of the case identified that the anterior liver treatment of a rare of renal and treatment of a case of the purpose of a present this this case of the patients with . to investigate the need for an important for a diagnosis of the importance for chronic , a high - related to both histopathological , the brain ) , we report of cell - old man . the patient ] a patient into human , particularly particularly an uncommon . the treatment is increased in normal clinical findings on the first year and the best of the presence of a wide , and in the patient in a very rare follow - old man showed , the patient 'sin , c. after the right upper patient was performed by a case of the clinical center of the patient was confirmed by a rare or a patient ) . the best .conclusionsle , the management of the potential risk of the most important to their treatment , the patients .",0.17355371900826447,0.2625,0.20895521908863654,0.047872340425531915,0.0625,0.05421686255770113,0.1652892561983471,0.25,0.19900497033241762
"background : storage of serum and other blood products is often necessary in laboratories because of technical issues or to preserve samples for subsequent research purposes . 
 the aim of this study was to determine whether the stability of biochemical analytes is affected by storage conditions.materials and methods : a total of 17 biochemical analytes in the sera of ten patients were examined following storage . 
 subsequent to determining the baseline measurements , the serum of each patient was aliquoted and stored at 20c for 7 , 15 , and 30 days and then analyzed for stability . 
 the results were compared with the initial analysis measurements obtained from fresh samples . 
 mean changes compared to baseline ( t0 ) concentrations were evaluated both statistically and clinically.results:our results show that sodium , potassium , urea , creatinine , uric acid , total calcium , phosphorus , direct bilirubin , total bilirubin , aspartate aminotransferase , alanine aminotransferase , alkaline phosphatase , total protein , albumin , cholesterol , and triglyceride levels were stable under all conditions . 
 serum amylase was the only analyte demonstrating instability following prolonged storage ; amylase levels changed significantly ( both statistically and clinically ) at 7 , 15 , and 30 days ( p < 0.05).conclusion : most common biochemical analytes , except for amylase , showed adequate stability in serum following 30 days of storage at 20c . 
 serum amylase analysis should be conducted on the same day that the sample is received in the laboratory .","abstractthe purpose of the prevalence of the clinical practice  30 of the aim of their treatment for the effects of .methodswe present study was to investigate the development of of the use of the level.materials of the first first effects on the most ] .materials and methods. results hiv - mediated on h. study was to to examine the efficacy of this study was to examine the two groups , three cases with h2 ( 1. data were evaluated as a novel and to evaluate the relationship between the most frequent in both the c5 .results: for both groups of the same level , the effects were found in vitro ) , or the ) . results , were assessed in the present study was to the second - c , and . study was significantly higher in the effects of p = 0.025 - c - time of an difference with a significant difference in the data have used to assess the , and other the same .",0.21897810218978103,0.36585365853658536,0.27397259805508645,0.06550218340611354,0.1056338028169014,0.08086252896767705,0.20437956204379562,0.34146341463414637,0.2557077578724381
"this study aimed to compare the apical sealing of root - end fillings performed with lysanda ( zinc oxide - eugenol paste ) with radiopacifiers ( iodoform or zinc oxide ) and calcium hydroxide . 
 root - end cavities were prepared and filled with different materials , as follows : group i  lysanda paste with iodoform ; group ii 
 lysanda paste with iodoform and calcium hydroxide ; group iii 
 lysanda paste with iodoform and zinc oxide ; group iv  lysanda paste with zinc oxide ; group v 
 mineral trioxide aggregate ( mta ) . after filling , 
 the teeth were immersed in 2% methylene blue for analysis of marginal leakage . 
 it was observed that marginal leakage occurred in all groups . 
 lysanda paste with iodoform showed the lowest leakage , with no statistically significant difference compared to the other groups . 
 all materials can be considered as good options for root - end filling .","background : purpose and methods , were found to the effect of this study and methodsthe effect .methodss on the present group group . the presence of the study study , and the control groups were studied the prevalence was a a decrease the prevalence rate of the data , respectively in ) and results of the . we tested ( imm1 , b2t2 ] the .results: the prevalence of . we have the results of different scores ) ) were subjected with the first group hb1 , the group , which was used at anova was significantly in group for the . the group from e. the groups , ; e and . these findings have been implicated in comparison of group in 4 - way the same for this trial. the results in the effect of an than 10 ( ci , we found in the same levels including 1 dl of type were group had a greater in the control group was used to the two groups . , and group , and the , 3 . the group 1 .",0.24691358024691357,0.25316455696202533,0.24999999500078132,0.032520325203252036,0.025974025974025976,0.028880861488616624,0.2345679012345679,0.24050632911392406,0.23749999500078134
"backgroundglobally , head injury is a substantial cause of mortality and morbidity . 
 a disproportionately greater burden is borne by low- and middle - income countries . 
 the incidence and characteristics of fatal and hospitalised head injuries in fiji are unknown.methodsusing prospective data from the fiji injury surveillance in hospital system , the epidemiology of fatal and hospitalised head injuries was investigated ( 20042005).resultsin total , 226 hospital admissions and 50 fatalities ( 66% died prior to admission ) with a principal diagnosis of head injury were identified ( crude annual rates of 34.7 and 7.7/100,000 , respectively ) . 
 males were more likely to die and be hospitalised as a result of head injury than females . 
 the highest fatality rate was among those in the 3044-year age group . 
 road traffic crashes were the leading causes of injuries resulting in death ( 70% ) , followed by  hit by person or object and falls ( 14% each ) . among people admitted to hospital , road traffic crashes ( 34.5% ) and falls ( 33.2% ) were the leading causes of injury . 
 the leading cause of head injuries in children was falls , in 1529-year - olds road traffic crashes , and in adults aged 3044 years or 45 years and older  hit by person or object. among the two major ethnic groups , fijians had higher rates of falls and  hit by person or object and indians higher rates for road traffic crashes . 
 there were no statistically significant differences between the overall rates of head injuries or the fatal and non - fatal rates among fijians or indians by gender following age standardisation to the total fijian national population.conclusiondespite underestimating the overall burden , this study identified head injury to be a major cause of death and hospitalisation in fiji . 
 the predominance of males and road traffic - related injuries is consistent with studies on head injuries conducted in other low- and middle - income countries . 
 the high fatality rate among those aged 3044 years in this study has not been noted previously . 
 the high case fatality rate prior to admission to the hospital requires urgent attention .","introductionthe purpose of of the treatment ( hsc , who had a new studies , and methods mandibular . participants with this study . patients with a safe and clinical history of the literature ; ) had a single age , which were recruited . in their study was conducted in patients were used for the association between the study , and follow - time , there was no patient at the treatment is in the need of the ) , there was obtained about the patient with the time at baseline of a single single - term results .results: a significant value ( , 3 year of this study . the association.results: twenty male underwent p 0.05 . there was investigated the two period in three percent of all subjects . the clinical and the groups , 4 weeks and the first year . this series of the results ) . results or , and 3 days were determined by , a total of the patients after a period. patients were performed on the results ) , and 20.",0.19375,0.36046511627906974,0.2520325157776456,0.03355704697986577,0.06535947712418301,0.044345893521271246,0.1625,0.3023255813953488,0.21138210927358064
