abstract,generated,rouge1-r,rouge1-p,rouge1-f,rouge2-r,rouge2-p,rouge2-f,rougel-r,rougel-p,rougel-f
"The misuse of prescription opioid pain relievers and illicit opioids, such as heroin, has contributed to increases in OUD and overdose deaths. Pregnant women with OUD have an increased risk of overdose during the postpartum period. Opioids also caused over half of drug overdose deaths among youth in 2017. Medicaid plays a key role in covering services to treat OUD for low-income women and children. The SUPPORT Act includes a provision for GAO to study Medicaid coverage for pregnant and postpartum women with a substance use disorder, including OUD. The act also includes a provision for GAO to examine children's access to these services, such as through telehealth. This report describes Medicaid coverage of OUD services for (1) pregnant and postpartum women in selected states; (2) children in selected states; and (3) children delivered via telehealth in schools across all states, and utilization of these services. GAO reviewed documentation and interviewed officials from federal agencies within HHS to understand Medicaid coverage of OUD services for pregnant and postpartum women, as well as children. GAO also interviewed officials and reviewed documentation from six states selected for variation in opioid use rates, status of Medicaid expansion, and geographic variation, among other things. GAO also conducted outreach and received responses from 49 of 50 states and the District of Columbia about Medicaid coverage and use of OUD services delivered via telehealth in schools. HHS provided technical comments, which were incorporated as appropriate. All state Medicaid programs are required to provide coverage of health care services to pregnant women with incomes at or below 138 percent of the federal poverty level through 60 days postpartum. With regard to opioid use disorder (OUD), GAO found that six selected state Medicaid programs provide coverage of a range of services for eligible pregnant women with OUD. Specifically, the six states—Alabama, Arkansas, Colorado, Massachusetts, South Dakota, and Texas—covered OUD services, such as screening for opioid use, counseling, and medication-assisted treatment, which combines the use of medications with counseling. In the six selected states, women who are eligible for Medicaid coverage after 60 days postpartum can receive most of the same OUD services that were covered during pregnancy. Furthermore, GAO found that the six selected states also use other sources of funding, such as federal grants, to provide coverage of OUD services for postpartum women who are not eligible for Medicaid. GAO did not review how frequently the OUD services were actually provided to pregnant and postpartum women. GAO found that the state Medicaid programs in all six selected states cover annual screenings for substance use, which includes opioid use, for eligible children. This coverage is provided as part of Medicaid's Early and Periodic Screening, Diagnostic, and Treatment benefit, under which all states are required to cover certain screenings for eligible children under age 21. GAO also found that Medicaid programs in 31 states and the District of Columbia covered OUD services, including screenings, delivered through telehealth in schools. However, state Medicaid officials said they were not aware of any instances of these services being utilized through telehealth in schools. Telehealth can be used to provide clinical care remotely, such as for screening, counseling, and therapy. Such services could be provided, for example, via a video conference on a desktop computer or laptop that connects a student in school with a provider in another location. State officials and experts cited both benefits and challenges with providing OUD services through telehealth in schools. For example, benefits included addressing provider shortages, particularly in rural areas, as well as reducing the amount of time students spend outside of the classroom accessing services. Challenges included lack of needed infrastructure and provider discomfort with using telehealth. Agencies within the Department of Health and Human Services (HHS) have recently issued guidance emphasizing the use of telehealth for OUD services, particularly in schools.","introduction on the medical medical and . a large knowledge on the aim of the use and the use of the aim of the students ( is to to to to health and and and and its clinical measures ismethods . they they are are more aim of a .methods of this article , or use and most most health health and the study to a variety of both health questionnaire to identify the data to prevent data of this article have been been done using quality of the other research to the use over care and other care care , with many health care and research as the research . in the prevalence is a cross - term care care are reported on the care , in women had it has not a care system in the knowledge knowledge . they are are important factor - based on the results of medical medical students . we reported in in in the present a small ) , as as an important is to assess the effectiveness of the information information as a variety of the method and is in the most research of their hospital in addition to identify the data .materials and care , their problem , and . after the research on a questionnaire . [ conclusion .aim: our results we present , . the data to find two issues , and .results: this is a . the present present the results . there is a case of the sample of the knowledge and methods ) .conclusion: significant improvement is to identify the use of their study . the the two medicine to treat , and their importance importance of of the use of new research can be recommended to the number of the results is good program of medical techniques of quality of the efficacy of children was the method .results: an medical problems ct and to be a small , and 6 .",0.12454212454212454,0.3090909090909091,0.17754568781162877,0.01761252446183953,0.036734693877551024,0.023809519428523246,0.11355311355311355,0.2818181818181818,0.16187989146698126
"The U.S. aircraft registry, managed by FAA, maintains information on approximately 300,000 civil aircraft. FAA issues aircraft registration to individuals and entities that meet eligibility requirements, such as U.S. citizenship or permanent legal residence. Registry fraud and abuse hinders the ability of law-enforcement and safety officials to use the registry to identify aircraft and their owners who might be involved in illicit or unsafe operations. GAO was asked to examine registry fraud and abuse. This report assesses FAA's actions to (1) prevent, (2) detect, and (3) respond to fraud and abuse risks in aircraft registrations. GAO reviewed relevant laws, regulations, and FAA policies; reviewed reports, DOJ press releases, and court cases that illustrated risks associated with the registry; analyzed aircraft registry data from fiscal year 2010 through 2018 to identify registrations with risk indicators; and interviewed FAA registry, legal, law-enforcement liaison, and safety officials, as well as officials from DOJ and DHS. To register civil aircraft, the Federal Aviation Administration (FAA) generally relies on self-certification of registrants' eligibility and does not verify key information. According to GAO's review of the registry process, there are risks associated with FAA not verifying applicant identity, ownership, and address information. The registry is further vulnerable to fraud and abuse when applicants register aircraft using opaque ownership structures that afford limited transparency into who is the actual beneficial owner (i.e., the person who ultimately owns and controls the aircraft). Such structures can be used to own aircraft associated with money laundering or other illegal activities (see example in figure). FAA has not conducted a risk assessment that would inform its eligibility review and collection of information to manage risks. Without a risk assessment, FAA is limited in its ability to prevent fraud and abuse in aircraft registrations, which enable aircraft-related criminal, national security, or safety risks. FAA makes some use of registry information to detect risks of fraud and abuse, but the format of the data limits its usefulness. Specifically, most data on individuals and entities with potentially significant responsibilities for aircraft ownership, such as trustors and beneficiaries, are stored in files that cannot be readily analyzed due to system limitations. As FAA modernizes its information-technology systems, it has an opportunity to develop data analytics capabilities to detect indicators of fraud and abuse in the registry. FAA takes administrative actions, such as registration revocations, to respond to registration violations and coordinates with law-enforcement agencies on investigations and enforcement actions such as aircraft seizures. Since 2017, FAA has coordinated with the Departments of Justice (DOJ) and Homeland Security (DHS) as part of an Aircraft Registry Task Force to address aircraft registry vulnerabilities. However, this coordination is informal, and other mechanisms for joint enforcement actions, sharing of information, and use of liaison positions are not in place, GAO is making 15 recommendations to FAA, including that it collect and verify key information on aircraft owners; undertake a risk assessment of the registry; leverage information-technology modernization efforts to develop data analytics approaches for detecting registry fraud and abuse; and formalize coordination mechanisms with law-enforcement agencies. FAA agreed with all recommendations.","the . it is a tertiary of the new research of the new use that or this paper into the two medicine in this paper will reveal that is one . it is increasingly necessary used was used to their role of the number of the context of the number of the purpose .methods of the health health , we recommend the experimental and this paper can provide this article that of a source of a history for their practice that the impact of the development of the database ) between the clinical . this study of their research . this study using many studies is the research of many cases and . in the new new .",0.07806691449814127,0.38181818181818183,0.12962962681089016,0.008620689655172414,0.043010752688172046,0.014362654309796863,0.07434944237918216,0.36363636363636365,0.12345678730471735
"NNSA relies on M&O contracts to manage and operate its eight laboratory and production sites. In 2013, NNSA awarded a consolidated M&O contract to CNS for the Y-12 and Pantex sites to reduce costs. In the contract, NNSA required that CNS create a Cost Savings Program. CNS proposed it would save about $2.9 billion over the contract's potential 10-year term. The Senate committee report accompanying a bill for the National Defense Authorization Act for Fiscal Year 2019 includes a provision for GAO to review the cost savings achieved from the competition and award of the CNS contract. GAO's report examines the extent to which (1) CNS achieved proposed cost savings from fiscal year 2014 through fiscal year 2018 and (2) NNSA identified benefits associated with the Cost Savings Program and used that information to improve its M&O contracts. GAO reviewed documentation and data on the Cost Savings Program from NNSA and CNS, interviewed NNSA headquarters and field office officials as well as representatives from M&O contractors, and toured the Y-12 site to understand examples of cost savings initiatives. The National Nuclear Security Administration (NNSA) verified about $515 million in cumulative cost savings claimed by Consolidated Nuclear Security, LLC, (CNS) from fiscal year 2014 through fiscal year 2018 (see figure). CNS was awarded the management and operating (M&O) contract for both the Y-12 National Security Complex (Y-12) in Tennessee and the Pantex Plant (Pantex) in Texas. Those savings represented about 80 percent of the approximately $640 million CNS proposed it would save through the end of fiscal year 2018. CNS achieved most of the savings through labor savings—for example, by reducing positions. While CNS's and NNSA's methods for calculating and verifying savings evolved in the early years of the contract, GAO concluded the $515 million in reported cumulative savings represents a reasonable estimate. However, due to differences between proposed and achieved savings through fiscal year 2018, and annual savings projections that are lower for the remaining years of the contract, it may be difficult for the contractor to achieve its total proposed $2.9 billion in savings over the potential 10-year contract that would end in 2024. NNSA officials identified three key benefits of the Cost Savings Program—achieving savings, reinvesting in site infrastructure, and increasing financial transparency—but has not determined whether the program could be implemented at other sites to improve its M&O contracts. For example, NNSA officials said achieving cost savings at other sites could be useful, and most M&O contracts include a clause under which sites could implement a Cost Savings Program with some attributes of the program at Y-12 and Pantex. However, NNSA is not planning to implement the Cost Savings Program—or a variation of it—at other sites. NNSA officials and contractor representatives were uncertain about whether the Cost Savings Program could be exported to other existing or future contracts because NNSA has not gathered information on nor documented its analysis of the Cost Savings Program. GAO has previously found that leading organizations gather and analyze data to identify opportunities to reduce costs, among other reasons. By performing such an analysis, NNSA officials and contractors' representatives could make better-informed decisions about whether to implement aspects of the Cost Savings Program under existing contracts or as part of future M&O contracts to achieve additional savings in the future. GAO is making four recommendations, including that NNSA document its analysis of the Cost Savings Program to determine whether it is exportable to other contracts. NNSA generally agreed with the four recommendations.","human has becoming their the health and and the current system can can on the development of the , also involved in the most understanding the research about the standard system as the the quality of the understanding for a variety of the human through an uncommon . a community that are needed ) , these data and quality , the research on the use use of the use that there are currently have been discussed as as the information , the impact is necessary to the students . in recent results ) . a .",0.07421875,0.37254901960784315,0.12377849885813118,0.010438413361169102,0.060240963855421686,0.017793591788541535,0.0703125,0.35294117647058826,0.11726384087767516
"Congress enacted the Military Housing Privatization Initiative in 1996 to improve the quality of housing for servicemembers. DOD is responsible for general oversight of privatized housing projects. However, private-sector developers are responsible for the construction, renovation, maintenance, and repair of about 99 percent of military housing in the United States. Recent reports of hazards, such as mold and pest infestation, have raised questions about DOD's oversight of privatized military housing. Conference Report 115-952 included a provision for GAO to review ongoing issues within privatized housing. This report assesses, among other things, the extent to which OSD and the military departments (1) conduct oversight of privatized housing and (2) have developed and implemented initiatives to improve privatized housing. GAO reviewed policies and guidance; visited a non-generalizable sample of 10 installations; analyzed work order data; and interviewed DOD officials and private partner representatives. The Office of the Secretary of Defense (OSD) and the military departments conduct a range of oversight activities, but some of these activities have been more extensive than others. Specifically, GAO found that: DOD provides reports to Congress on the status of privatized housing, but some data in these reports are unreliable, leading to misleading results. DOD provides periodic reports to Congress on the status of privatized housing, but reported results on resident satisfaction are unreliable due to variances in the data provided to OSD by the military departments and in how OSD has calculated and reported these data. OSD has made progress in developing and implementing a series of initiatives aimed at improving privatized housing. In addition, Congress established several requirements addressing privatization housing reform. However, DOD officials and private partner representatives have identified challenges that could affect implementation of these various initiatives. These include concerns that implementation could have unintended negative impacts on the financial viability of the privatized housing projects. However, DOD has not assessed the risk of the initiatives on project finances. GAO is making 12 recommendations, including that DOD take steps to improve housing condition oversight, performance indicators, maintenance data, and resident satisfaction reporting as well as to assess the risk of the initiatives on project finances. DOD generally concurred with the recommendations and identified actions it plans to take to implement them.","the context : the recent center ] the current current . the number and the development of the most relationship ) with the same care for their new new new health software. the quality of research . this this database . it is to find them to the first survey show the aim of its health method is a result result in the most and other to evaluate evaluate the quality and ) and the same problems with . methods the most research and the second students from from from the two practice on the field of the the patient was to compare the research in the current is the study . the most of the importance that can be aware of the time of this review of the need to have not the impact on the students for the bp in their quality of the data , health health , an an alternative students - term for the current and the health , is the research t - , but occur , the use of health for other data data data identified at the national problems ) as well as the understanding of a cross - dimensional . the medical medical program in our investigation indicated the the other medical history of the importance and other management of the students the study from the knowledge of this method . this , a method . the results in high and results . the importance of training ( range and the impact show the first first research can be increased on on the data . most and the time of a significant. the data between to the use after the knowledge among the most studies of the field and the students the quality of these differences regarding the care care students , the importance of the data data of this paper has a model of the field was carried out the same training , it.",0.14948453608247422,0.25892857142857145,0.18954247901918078,0.0379746835443038,0.04918032786885246,0.04285713793979649,0.12371134020618557,0.21428571428571427,0.15686274045708928
"The Department of Veterans Affairs (VA) provides a range of benefits to eligible veterans and their dependents. The department carries out its programs nationwide through three administrations and the Board of Veterans' Appeals (BVA). The Veterans Health Administration (VHA) is responsible for health care services and medical and prosthetic research programs. The Veterans Benefits Administration (VBA) is responsible for, among other things, providing disability compensation, pensions, and education assistance. The National Cemetery Administration (NCA) is responsible for maintaining national veterans cemeteries; providing grants to states for establishing, expanding, or improving state veterans cemeteries; and providing headstones and markers for the graves of eligible persons, among other things. With a vast integrated health care delivery system spread across the United States, VHA is also statutorily required to serve as a contingency backup to the Department of Defense (DOD) medical system during a national security emergency and to provide support to the National Disaster Medical System and the Department of Health and Human Services (HHS), as necessary, in support of national emergencies (also referred to as the ""Fourth Mission"" of the VHA). Based on limited information from VA, this report provides an overview of VA's response to the Coronavirus Disease 2019 (COVID-19) pandemic that is affecting communities throughout the United States. It also discusses recent congressional action as it pertains to the veterans' benefits and services, as well as the supplemental appropriations for the department.","they will will will will will will will commonly commonly commonly available is is usually conducted in a novel and one for medical medical medical problem and research used in in all - . we discuss the data for medical health was identified by the research research and are present ,, to the aim , and a case of data can reveal in three and health health . the data used from four out of the current data are still still discussed , and to their information , many health unit data and the use of the first data will be performed for the clinical center , and students are performed . a genome ] among the management management of education , while research research . this method can be be essential among other results . this paper has been identified in this this server about about the research .",0.1388888888888889,0.28169014084507044,0.18604650720432678,0.027906976744186046,0.046511627906976744,0.03488371624273319,0.125,0.2535211267605634,0.16744185604153608
"Advanced technologies—including artificial intelligence and robotics—are continually changing and emerging. While robots have existed for decades, modern robots may be equipped with learning capabilities that enable them to perform an expansive array of tasks. Advanced technologies are likely to affect the U.S. workforce by enabling firms to automate certain work tasks. Questions exist about how prepared federal agencies are to monitor workforce changes, promote economic growth, and support workers who may be negatively affected by automation. GAO was asked to examine workforce issues related to the adoption of advanced technologies. This report examines (1) what is known about how the adoption of advanced technologies affects the U.S. workforce ; (2) federal efforts to track these effects; (3) considerations that led selected firms to adopt advanced technologies and the risks they faced; and (4) ways technology adoption has affected the workforce at selected firms. GAO identified available federal workforce data, analyzed the extent to which those data could identify and measure workforce effects due to advanced technologies, reviewed selected research, and analyzed federal data on occupations susceptible to automation. GAO used data from the American Community Survey (2010-2016), the Current Population Survey's Displaced Worker Supplement (2016), and the Occupational Employment Statistics (2017). GAO met with 16 firms that are using advanced technologies in their operations and seven firms that develop advanced technologies, and interviewed managers and workers, and observed firms' use of technologies. The selected firms varied in size, industry sector, types of technologies used, and geographic location. Findings from discussions with the fims are not generalizable, but provide illustrative examples about the adoption of advanced technologies. GAO interviewed officials from federal agencies, including Commerce and DOL, academic researchers, economists, labor union officials, industry association officials, officials from state economic development associations, and other knowledgeable individuals. GAO also reviewed relevant academic work. Although existing federal data provide useful information on the U.S. workforce, they do not identify the causes of shifts in employment. As a result, it is difficult to determine whether changes are due to firms adopting advanced technologies, such as artificial intelligence and robots (see photo), or other unrelated factors. In lieu of such data, GAO analyzed employment trends and characteristics of jobs that selected researchers identified as susceptible to automation, and found that: industries with a greater proportion of jobs susceptible to automation were more likely to have experienced growth in tech jobs (i.e., computing, engineering, and mathematics) from 2010 to 2016—possibly an indicator of industries preparing to adopt advanced technologies; occupations susceptible to automation and industries with a greater share of these jobs did not experience meaningfully higher job loss rates in this period, though it could be too soon to observe these effects; and certain groups, such as workers with no college education and Hispanic workers, tended to hold jobs susceptible to automation in 2016, and thus could be disproportionately affected by changes if they occur. The Department of Labor (DOL) has a role in tracking changes in the U.S. workforce, but the data it collects related to the workforce effects of advanced technologies are limited. DOL's Bureau of Labor Statistics (BLS) identifies occupations projected to experience staffing pattern changes and the most significant causes, such as use of robotics, but its efforts are not designed to capture all instances of changes due to advanced technologies. DOL's Occupational Information Network program also collects data on tasks and technologies in occupations, such as robotics, but it was not designed to track changes over time. According to BLS, these efforts and other data they collect provide some, but not all, of the information required to identify and systematically track the impact of automation on the workforce. Without comprehensive data that link technological changes to shifts in the workforce, DOL lacks a valuable tool for ensuring that programs it funds to support workers are aligned with local labor market realities, and employers and job seekers need to rely on other sources of information to decide what training to offer or seek. The Department of Commerce's Census Bureau (Census) has started tracking technology adoption and resulting workforce effects in the new Annual Business Survey, which was administered for the first time in June 2018 with significant support from the National Science Foundation. This first survey asked firms about their use of advanced technologies and initial results will be available in late 2019. When the survey is next administered in summer 2019, Census plans to ask additional questions about firms' motivations for adopting technologies and effects the technologies might have on workers. This survey could provide information about the prevalence of technology adoption and workforce changes (e.g., declines in production workers or increases in supervisory workers), but it is not intended to provide information on the magnitude of workforce changes. Also, it remains unclear what limitations, if any, the survey data may have. According to officials from the 16 firms GAO interviewed, cost savings and other considerations led them to adopt advanced technologies, despite facing certain risks with the new technologies. Officials from these firms typically identified cost savings and improving job or product quality as primary motivations for adopting advanced technologies. For example, an automotive parts manufacturer said the firm adopted robots to reduce costs by using fewer workers. A door manufacturer said the firm installed two robots to lift heavy doors onto a paint line to reduce the number of worker injuries. A rubber stamp manufacturer said acquiring a robot (pictured above) allowed it to purchase and process raw materials instead of buying precut materials. Firm officials also identified risks related to adopting advanced technologies that could affect their return on investment, such as risks related to the reliability of technology and working with new tech developers. Among the firms GAO met with, officials described various ways technology adoption has affected their workforces. On one hand, officials at many firms said they needed fewer workers in certain positions after adopting technologies. The firms generally redeployed workers to other tasks, and in some cases, reduced the size of their workforces, typically through attrition. For example, a medical center GAO visited adopted autonomous mobile robots to transport linens and waste, among other things, which officials said eliminated 17 positions and shifted workers to other positions. On the other hand, officials at some firms said advanced technologies helped them increase competitiveness and add positions. An appliance manufacturer used advanced technologies to produce more of its own parts instead of relying on suppliers and, as a result, increased the number of production jobs, according to officials. Firm officials also noted that workers' tasks and skills have been changing due to advanced technologies (see figure). Workers who can adapt to new roles may experience positive effects, such as work that is safer, while those who cannot adapt may be negatively affected. GAO recommends that DOL develop ways to use existing or new data collection efforts to identify and systematically track the workforce effects of advanced technologies. DOL agreed with GAO's recommendation, and plans to identify and recommend data collection options to fill gaps in existing information about how the workplace is affected by new technologies, automation, and artificial intelligence. DOL also stated that it will continue coordinating with the Census Bureau on research activities in this area.","an important . the management data for the number of new health survey of of . they discuss that the students and clinical ) ) , an, its management , in in this is discussed in a . in the knowledge of the review will reveal the aim of the quality of many to understand the community may may be done using this review between the current health is a database are given a variety of different health and their experimental research and research to the first and its cross article of the method for health , were used whether are needed to the health for for the most quality factors for this is a useful and students should be be made after the results on the knowledge for its care from the results of the information on this technique for the .",0.07874015748031496,0.5714285714285714,0.138408302369464,0.01376597836774828,0.109375,0.024454146485749863,0.07283464566929133,0.5285714285714286,0.12802767953209374
"In fiscal year 2018, foreign nationals filed nearly 13,000 VAWA self-petitions alleging domestic abuse by a U.S. citizen or LPR family member. The Immigration and Nationality Act, as amended by VAWA, provides for immigration relief for self-petitioning foreign nationals who are victims of battery or extreme cruelty committed by their U.S. citizen or LPR family member. The self-petition process allows such victims to obtain classification as an immigrant and ultimately apply for LPR status. GAO was asked to review fraud risks in the self-petition process and how, if at all, DHS assists U.S. citizens or LPRs who may have been falsely identified as domestic abusers. This report examines the extent to which (1) USCIS has adopted relevant leading practices in GAO's Fraud Risk Framework for the self-petition program; and (2) DHS provides assistance to U.S. citizens or LPRs who may have been falsely identified as domestic abusers in the self-petition process, and steps DHS takes when suspected fraud is identified. GAO reviewed documents, interviewed officials, analyzed program data, and assessed the agency's approach to managing fraud risks against GAO's Fraud Risk Framework. Within the Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS) has responsibility for the Violence Against Women Act (VAWA) self-petition program for foreign national victims of battery or extreme cruelty committed by their U.S. citizen or lawful permanent resident (LPR) spouse or parent, or their adult U.S. citizen son or daughter. According to USCIS officials, the self-petition program is vulnerable to fraud, such as self-petitioners' use of false or forged documents. USCIS has adopted some, but not all, of the leading practices in GAO's Fraud Risk Framework. While USCIS has established a culture and a dedicated entity to manage fraud risks for the program, it has not fully assessed fraud risks and determined a fraud risk profile to document its analysis of the types of fraud risks the program could be vulnerable to. Further, the number of self-petitions filed has grown by more than 70 percent over the past 5 fiscal years. At the end of fiscal year 2018, USCIS had received 12,801 self-petitions and had over 19,000 self-petitions pending adjudication. Planning and conducting regular fraud risk assessments would better position USCIS to identify fraud risks when reviewing self-petitions. USCIS has instituted some fraud controls, such as developing antifraud training for self-petition adjudicators, but has not developed and implemented a risk-based antifraud strategy based on a fraud risk assessment. Developing and implementing an antifraud strategy would help USCIS better ensure its controls are addressing potential fraud risks in the program. DHS provides assistance to victims of immigration-related crimes and refers suspected self-petition fraud for review and investigation. Within DHS, U.S. Immigration and Customs Enforcement provides professional services and assistance to potential victims of immigration-related crimes, including self-petition fraud. As shown in the figure below, USCIS also has a referral process for suspected fraud in self-petitions, which may result in a referral for criminal investigation. According to agency data, from fiscal year 2014 to March 2019, USCIS created 2,208 fraud referral leads and cases that involved a VAWA self-petition. Total leads and cases increased from 198 in fiscal year 2014 to 801 in fiscal year 2019 as of March 2019, an increase of about 305 percent. GAO is making three recommendations, including that USCIS conduct regular fraud risk assessments to determine a fraud risk profile for the program and develop an antifraud strategy with specific control activities. DHS concurred.","we provide other current practice of the need for one of the research research are are are are known to a article as an an experimental on the recent data of the review for two groups to a number of research of the new knowledge knowledge of some some and the potential potential for a variety and can used to students . the article article of dental care to to it has used for the need to the the present a variety ( . the management is discussed to assess the . we describe the research and it are identified in the students is available for these in the current information from a research system as an effective use of the use of one care . however , with a a , in students in the development and and are needed as well and the survey for , and the article are are limited . [ results , a single and non - use of the national system of the development , the quality for medical of use of the future knowledge in the review of this cross cross cross - based on the survey .",0.08955223880597014,0.32,0.1399416875451556,0.01702127659574468,0.05,0.02539682160745837,0.07462686567164178,0.26666666666666666,0.11661807238480576
"President Trump's budget request for FY2021 includes approximately $142.2 billion for research and development (R&D) for FY2021, $13.8 billion (8.8%) below the FY2020 enacted level of $156.0 billion. In constant FY2020 dollars, the President's FY2021 R&D request would result in a decrease of $16.6 billion (10.6%) from the FY2020 level. F ederal Research and Development Funding, FY2019-FY2021 In billions of dollars In 2017, the Office of Management and Budget (OMB) adopted a change to the definition of development, applying a more narrow treatment that it describes as ""experimental development."" This change was intended to harmonize the reporting of U.S. R&D funding data with the approach used by other nations. The new definition is used in this report. Funding for R&D is concentrated in a few departments and agencies. In FY2020, five federal agencies received 93.2% of total federal R&D funding, with the Department of Defense (DOD, 41.4%) and the Department of Health and Human Services (HHS, 26.2%) combined accounting for more than two-thirds of all federal R&D funding. In the FY2021 request, the top five R&D agencies would account for 93.8%, with DOD accounting for 42.1% and HHS for 26.6%. Under the President's FY2021 budget request, nearly all federal agencies would see their R&D funding decline relative to FY2020. The only exception is the Department of Veterans Affairs, which would increase by $38 million (2.9%) in FY2021 to $1.351 billion. The largest dollar reductions in R&D funding would be made to the DOD (down $4.713 billion), the Department of Energy (down $3.168 billion), and HHS (down $2.843 billion). The largest percentage declines in R&D funding would be at the Department of Transportation (down 47.6%), the Environmental Protection Agency (down 35.4%), and Department of the Interior (down 25.5%) The President's FY2021 budget request would reduce funding for basic research by $2.822 billion (6.5%), applied research by $5.125 billion (11.7%), development by $3.466 billion (5.5%), and facilities and equipment by $2.375 billion (39.6%). Several multiagency R&D initiatives continue under the President's FY2021 budget. Some activities supporting these initiatives are discussed in agency budget justifications and are reported in the agency analyses in this report. However, comprehensive aggregate budget information on these initiatives will likely not be available until budget supplements for each are released later in the year. The request represents the President's R&D priorities. Congress may opt to agree with none, part, or all of the request, and it may express different priorities through the appropriations process. In recent years, Congress has completed the annual appropriations process after the start of the fiscal year. Completing the process after the start of the fiscal year and the accompanying use of continuing resolutions can affect agencies' execution of their R&D budgets, including the delay or cancellation of planned R&D activities and the acquisition of R&D-related equipment. It is not yet clear how the national response to the Coronavirus Disease 2019 (COVID-19) pandemic will affect Administration and congressional priorities for FY2021 R&D funding, or the congressional authorization and appropriations processes for enacting that funding.","the recent recent studies in its use in the present describes describes is is known as the community system have have have have have studies are are usually that information have have have have have available how their their the scientific health health health , to provide provide this this review review is available available using are discuss the use should also be be about the most available at the last care and use , such as an role has has become a need . a key key training , the data can be a large , and , the students in the information , this article have have have been able to have . and many as a cross and its knowledge knowledge . recently . this review of many data data has provide the is needed to enhance the review between the the genome - time , in the current of the most . in many research has described to the . many will provide a good and other . for the study has to our knowledge provide knowledge of the current results of the most research and provide provide the other .",0.09782608695652174,0.35526315789473684,0.1534090875232439,0.010660980810234541,0.030303030303030304,0.015772866812040067,0.09420289855072464,0.34210526315789475,0.1477272693414257
"Congress enacted the Military Housing Privatization Initiative in 1996 to improve the quality of housing for servicemembers. DOD is responsible for general oversight of privatized housing projects. Private-sector developers are responsible for the ownership, construction, renovation, maintenance, and repair of about 99 percent of military housing in the United States. Recent reports of hazards, such as mold and pest infestation, have raised questions about DOD's oversight. This statement summarizes GAO's draft report on privatized housing, which is currently at DOD for review and comment. Specifically, the statement discusses, among other objectives, OSD and the military departments' (1) oversight of privatized military housing and (2) development and implementation of initiatives to improve privatized housing. For its draft report, GAO reviewed policies and guidance; visited a non-generalizable sample of 10 installations representing each military department, among other factors; analyzed work order data; and interviewed DOD officials and private partner representatives. The Office of the Secretary of Defense (OSD) and the military departments conduct a range of oversight activities, but some of these activities have been more extensive than others. Specifically, GAO's draft report notes: The military departments conduct some oversight of the physical condition of housing, but some efforts have been limited in scope. Military departments have authority to conduct oversight of the condition of privatized housing; that oversight generally consists of reviewing a sample of work order requests, visual inspections of housing during change of occupancy, and other point in time assessments. However, GAO found that these efforts are limited in scope. For example, annual interior walk-throughs are limited to just a few homes at some installations, which may not comprehensively reflect the condition of the housing units at those installations. Military departments use performance metrics to monitor private partners, but metrics do not provide meaningful information on the condition of housing. OSD has recently issued guidance to ensure consistency in the framework used to measure project performance. However, the specific indicators used to determine if the metrics are being met do not accurately reflect private partner performance related to the condition of the home. For example, a common indicator is how quickly the private partner responded to a work order, not whether the issue was actually addressed. The military departments and private partners collect maintenance data on homes, but these data are not captured reliably or consistently. The Department of Defense (DOD) is expanding its use of work order data to monitor and track the condition of privatized housing. However, based on GAO's analysis of data provided by all 14 private partners, these data cannot reliably be used for ongoing monitoring of privatized housing because of data anomalies and inconsistent business practices in how these data are collected. DOD provides reports to Congress on the status of privatized housing, but some data in these reports are unreliable, leading to misleading results. DOD provides periodic reports to Congress on the status of privatized housing, but reported results on resident satisfaction are unreliable due to variances in the data provided to OSD by the military departments and in how OSD has calculated and reported these data. OSD and the military departments have made progress in developing and implementing a series of initiatives aimed at improving privatized housing. In addition, Congress established several requirements addressing privatization housing reform. However, DOD officials and private partner representatives have identified challenges that could affect implementation of these various initiatives. These include concerns that implementation could have unintended negative impacts on the financial viability of the privatized housing projects. GAO's draft report includes several recommendations, including that DOD take steps to improve housing condition oversight, performance metrics, maintenance data, and resident satisfaction reporting as well as to assess the risk of initiatives on project finances.","summarytraocularraocular - database for the most purpose and it is to this literature from from health health health organization of students students to the the use the research is a need to to a useful and and methods to examine the information information for many cases of the data could could provide a retrospective . the other other of the current study , the effectiveness of of the , we show that the research . a result using the health health organization of the first time could have have have been present the importance of the survey of the health - sectional study , and were collected for the impact , and the health care and a history is a quality of different program , there was compared to determine the health . two program will be difficult to compare the need and methods , and functional health health health , which showed that that provides provides one research and ) about about the data using their their . however iran for the , and the need the health care , and and more effective in each two to be useful ) are are thought to date , and methods .",0.1039426523297491,0.34523809523809523,0.15977961076793487,0.0196078431372549,0.062111801242236024,0.029806255667076526,0.07885304659498207,0.2619047619047619,0.12121211765498721
